rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
40000,EIP AutoCAD - Total Billing,{},0.0,31000,EIP AutoCAD - Total Billing,,,,,,11/01/2020,01/31/2021,,,100
40001,EIP AutoCAD - Program Eligible Billing - Subscription New,{},0.0,32000,EIP AutoCAD - Program Eligible Billing - Subscription New,,,,,,11/01/2020,01/31/2021,,,100
40002,EIP AutoCAD - Program Eligible Billing - Subscription Renewal,{},0.0,33000,EIP AutoCAD - Program Eligible Billing - Subscription Renewal,,,,,,11/01/2020,01/31/2021,,,100
40003,EIP AutoCAD - Program Eligible Billing - Online Renewal,{},0.0,34000,EIP AutoCAD - Program Eligible Billing - Online Renewal,,,,,,11/01/2020,01/31/2021,,,100
40004,EIP AutoCAD - Program Eligible Billing - M2S Initial Switch ,{},0.0,35000,EIP AutoCAD - Program Eligible Billing - M2S Initial Switch ,,,,,,11/01/2020,01/31/2021,,,100
40005,EIP AutoCAD - Program Eligible Billing - M2S Renewal ,{},0.0,36000,EIP AutoCAD - Program Eligible Billing - M2S Renewal ,,,,,,11/01/2020,01/31/2021,,,100
40006,EIP AutoCAD - Program Eligible Billing - M2S Online Renewal ,{},0.0,37000,EIP AutoCAD - Program Eligible Billing - M2S Online Renewal ,,,,,,11/01/2020,01/31/2021,,,100
40007,EIP AutoCAD-Subscription Renewal-Platinum-India-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40008,EIP AutoCAD-Subscription Renewal-Gold-India-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40009,EIP AutoCAD-Subscription Renewal-Reseller-India-Emerging-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40010,EIP AutoCAD-Subscription Renewal-Platinum-ANZ-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40011,EIP AutoCAD-Subscription Renewal-Gold-ANZ-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40012,EIP AutoCAD-Subscription Renewal-Reseller-ANZ-Mature-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40013,EIP AutoCAD-Subscription Renewal-Platinum-JPY-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40014,EIP AutoCAD-Subscription Renewal-Gold-JPY-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40015,EIP AutoCAD-Subscription Renewal-Reseller-JPY-Mature-Direct VAR,{},0.06,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40016,EIP AutoCAD-Subscription Renewal-Platinum-Korea-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40017,EIP AutoCAD-Subscription Renewal-Gold-Korea-Mature-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40018,EIP AutoCAD-Subscription Renewal-Reseller-Korea-Mature-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40019,EIP AutoCAD-Subscription Renewal-Platinum-ASEAN-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40020,EIP AutoCAD-Subscription Renewal-Gold-ASEAN-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40021,EIP AutoCAD-Subscription Renewal-Reseller-ASEAN-Emerging-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40022,EIP AutoCAD-Subscription Renewal-Platinum-Taiwan-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40023,EIP AutoCAD-Subscription Renewal-Gold-Taiwan-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40024,EIP AutoCAD-Subscription Renewal-Reseller-Taiwan-Emerging-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40025,EIP AutoCAD-Subscription Renewal-Platinum-Greater China-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40026,EIP AutoCAD-Subscription Renewal-Gold-Greater China-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40027,EIP AutoCAD-Subscription Renewal-Reseller-Greater China-Emerging-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40028,EIP AutoCAD-Subscription Renewal-Platinum-Hong Kong-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40029,EIP AutoCAD-Subscription Renewal-Gold-Hong Kong-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40030,EIP AutoCAD-Subscription Renewal-Reseller-Hong Kong-Emerging-Direct VAR,{},0.09,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40031,EIP AutoCAD-Subscription Renewal-Platinum-Brazil-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40032,EIP AutoCAD-Subscription Renewal-Gold-Brazil-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40033,EIP AutoCAD-Subscription Renewal-Reseller-Brazil-Emerging-Direct VAR,{},0.06,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
40034,EIP AutoCAD-Subscription Renewal-Platinum-Mexico-Emerging-Direct VAR,{},0,39000,EIP AutoCAD - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
