rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
50000,EIP Vertical - Total Billing,{},0.0,44000,EIP Vertical - Total Billing,,,,,,11/01/2020,01/31/2021,,,100
50001,EIP Vertical - Program Eligible Billing - Subscription New,{},0.0,45000,EIP Vertical - Program Eligible Billing - Subscription New,,,,,,11/01/2020,01/31/2021,,,100
50002,EIP Vertical - Program Eligible Billing - Subscription Renewal,{},0.0,46000,EIP Vertical - Program Eligible Billing - Subscription Renewal,,,,,,11/01/2020,01/31/2021,,,100
50003,EIP Vertical - Program Eligible Billing - Online Renewal,{},0.0,47000,EIP Vertical - Program Eligible Billing - Online Renewal,,,,,,11/01/2020,01/31/2021,,,100
50004,EIP Vertical - Program Eligible Billing - M2S Initial Switch ,{},0.0,48000,EIP Vertical - Program Eligible Billing - M2S Initial Switch ,,,,,,11/01/2020,01/31/2021,,,100
50005,EIP Vertical - Program Eligible Billing - M2S Renewal ,{},0.0,49000,EIP Vertical - Program Eligible Billing - M2S Renewal ,,,,,,11/01/2020,01/31/2021,,,100
50006,EIP Vertical - Program Eligible Billing - M2S Online Renewal ,{},0.0,50000,EIP Vertical - Program Eligible Billing - M2S Online Renewal ,,,,,,11/01/2020,01/31/2021,,,100
50007,EIP Vertical-Subscription Renewal-Platinum-India-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50008,EIP Vertical-Subscription Renewal-Gold-India-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50009,EIP Vertical-Subscription Renewal-Reseller-India-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50010,EIP Vertical-Subscription Renewal-Platinum-ANZ-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50011,EIP Vertical-Subscription Renewal-Gold-ANZ-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50012,EIP Vertical-Subscription Renewal-Reseller-ANZ-Mature-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50013,EIP Vertical-Subscription Renewal-Platinum-JPY-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50014,EIP Vertical-Subscription Renewal-Gold-JPY-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50015,EIP Vertical-Subscription Renewal-Reseller-JPY-Mature-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50016,EIP Vertical-Subscription Renewal-Platinum-Korea-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50017,EIP Vertical-Subscription Renewal-Gold-Korea-Mature-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50018,EIP Vertical-Subscription Renewal-Reseller-Korea-Mature-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50019,EIP Vertical-Subscription Renewal-Platinum-ASEAN-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50020,EIP Vertical-Subscription Renewal-Gold-ASEAN-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50021,EIP Vertical-Subscription Renewal-Reseller-ASEAN-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50022,EIP Vertical-Subscription Renewal-Platinum-Taiwan-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50023,EIP Vertical-Subscription Renewal-Gold-Taiwan-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50024,EIP Vertical-Subscription Renewal-Reseller-Taiwan-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50025,EIP Vertical-Subscription Renewal-Platinum-Greater China-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50026,EIP Vertical-Subscription Renewal-Gold-Greater China-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50027,EIP Vertical-Subscription Renewal-Reseller-Greater China-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50028,EIP Vertical-Subscription Renewal-Platinum-Hong Kong-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50029,EIP Vertical-Subscription Renewal-Gold-Hong Kong-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50030,EIP Vertical-Subscription Renewal-Reseller-Hong Kong-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
