rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
70000,KPI - Total Billing,{},0,62000,KPI - Total Billing,,,,,Distributor,11/01/2020,01/31/2021,,,100
70001,KPI - Program Eligible Billing,{},0,63000,KPI - Program Eligible Billing,,,,,Distributor,11/01/2020,01/31/2021,,,100
70002,KPI-Key Performance Incentive (AutoCAD)-N/A-AUSTRALIA-Mature-VAD,{},0.02,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,AUSTRALIA-Mature,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70003,KPI-Key Performance Incentive (AutoCAD)-N/A-NZ-Mature-VAD,{},0.015,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,NZ-Mature,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70004,KPI-Key Performance Incentive (AutoCAD)-N/A-Korea-Mature-VAD,{},"[{""start"":0,""value"": 0.0},{""start"":0.7,""value"": 0.007,""start"": 1.0,""value"": 0.02}]",64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,Korea-Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
70005,KPI-Key Performance Incentive (AutoCAD)-N/A-SINGAPORE-Emerging-VAD,{},0.005,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,SINGAPORE-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70006,KPI-Key Performance Incentive (AutoCAD)-N/A-CAMBODIA-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,CAMBODIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70007,KPI-Key Performance Incentive (AutoCAD)-N/A-INDONESIA-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,INDONESIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70008,KPI-Key Performance Incentive (AutoCAD)-N/A-MYANMAR-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,MYANMAR-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70009,KPI-Key Performance Incentive (AutoCAD)-N/A-MALAYSIA-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,MALAYSIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70010,KPI-Key Performance Incentive (AutoCAD)-N/A-PHILIPPINES-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,PHILIPPINES-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70011,KPI-Key Performance Incentive (AutoCAD)-N/A-THAILAND-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,THAILAND-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70012,KPI-Key Performance Incentive (AutoCAD)-N/A-VIETNAM-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,VIETNAM-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70013,KPI-Key Performance Incentive (AutoCAD)-N/A-Greater China-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,Greater China-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
70014,KPI-Key Performance Incentive (AutoCAD)-N/A-Hong Kong-Emerging-VAD,{},0.01,64000,KPI AutoCAD - Payout Eligible Billing,Key Performance Incentive (AutoCAD),,Hong Kong-Emerging,VAD,Distributor,11/01/2020,01/31/2021,True,,100
