rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
30000,PPI - Total Billing,{},0,21000,PPI - Total Billing,,,,,,11/01/2020,01/31/2021,,,100
30001,PPI - Program Eligible Billing - Subscription New,{},0,22000,PPI - Program Eligible Billing - Subscription New,,,,,,11/01/2020,01/31/2021,,,100
30002,PPI - Program Eligible Billing - Subscription Renewal,{},0,23000,PPI - Program Eligible Billing - Subscription Renewal,,,,,,11/01/2020,01/31/2021,,,100
30003,PPI - Program Eligible Billing - Online Renewal,{},0,24000,PPI - Program Eligible Billing - Online Renewal,,,,,,11/01/2020,01/31/2021,,,100
30004,PPI-Subscription New-Platinum-USCanada-Direct VAR,{},"[{""start"":0,""value"":0.185},{""start"":0.5,""value"": 0.185},{""start"":1.0,""value"": 0.185}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30005,PPI-Subscription New-Gold-USCanada-Direct VAR,{},"[{""start"":0,""value"":0.155},{""start"":0.5,""value"": 0.155},{""start"":1.0,""value"": 0.155}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30006,PPI-Subscription New-Platinum-India-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30007,PPI-Subscription New-Gold-India-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30008,PPI-Subscription New-Platinum-ANZ-Mature-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30009,PPI-Subscription New-Gold-ANZ-Mature-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30010,PPI-Subscription New-Platinum-EMEA_EURO_EFTA_Mature-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_EURO_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30011,PPI-Subscription New-Gold-EMEA_EURO_EFTA_Mature-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_EURO_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30012,PPI-Subscription New-Platinum-EMEA_GBP_EFTA_Mature-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_GBP_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30013,PPI-Subscription New-Gold-EMEA_GBP_EFTA_Mature-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_GBP_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30014,PPI-Subscription New-Platinum-Brazil-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30015,PPI-Subscription New-Gold-Brazil-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30016,PPI-Subscription New-Platinum-Mexico-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30017,PPI-Subscription New-Gold-Mexico-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30018,PPI-Subscription New-Platinum-MCO-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30019,PPI-Subscription New-Gold-MCO-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30020,PPI-Subscription New-Platinum-ASEAN-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30021,PPI-Subscription New-Gold-ASEAN-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30022,PPI-Subscription New-Platinum-Taiwan-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30023,PPI-Subscription New-Gold-Taiwan-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30024,PPI-Subscription New-Platinum-Korea-Mature-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30025,PPI-Subscription New-Gold-Korea-Mature-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30026,PPI-Subscription New-Platinum-Greater China-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30027,PPI-Subscription New-Gold-Greater China-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30028,PPI-Subscription New-Platinum-Hong Kong-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30029,PPI-Subscription New-Gold-Hong Kong-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30030,PPI-Subscription New-Platinum-JPY-Mature-Direct VAR,{},"[{""start"":0,""value"":0.195},{""start"":0.5,""value"": 0.195},{""start"":1.0,""value"": 0.195}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
