rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
20000,PSI - Total Billing,{},0.0,8000,PSI - Total Billing,,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20001,PSI - Program Eligible Billing - Subscription New,{},0.0,9000,PSI - Program Eligible Billing - Subscription New,Subscription New,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20002,PSI - Program Eligible Billing - Subscription Renewal,{},0.0,10000,PSI - Program Eligible Billing - Subscription Renewal,Subscription Renewal,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20003,PSI - Program Eligible Billing - Online Renewal,{},0.0,11000,PSI - Program Eligible Billing - Online Renewal,Online Renewal,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20004,PSI - Program Eligible Billing - M2S Initial Switch ,{},0.0,12000,PSI - Program Eligible Billing - M2S Initial Switch ,M2S Initial Switch,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20005,PSI - Program Eligible Billing - M2S Renewal ,{},0.0,13000,PSI - Program Eligible Billing - M2S Renewal ,M2S Renewal,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20006,PSI - Program Eligible Billing - M2S Online Renewal ,{},0.0,14000,PSI - Program Eligible Billing - M2S Online Renewal ,M2S Online Renewal,,,,Reseller,11/01/2020,01/31/2021,,,100,,,,,,
20007,PSI-Subscription New-Platinum-MCO-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-MCO-Emerging-Direct VAR,Subscription New,Platinum,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20008,PSI-Subscription New-Gold-MCO-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-MCO-Emerging-Direct VAR,Subscription New,Gold,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20009,PSI-Subscription New-Platinum-Mexico-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-Mexico-Emerging-Direct VAR,Subscription New,Platinum,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20010,PSI-Subscription New-Gold-Mexico-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-Mexico-Emerging-Direct VAR,Subscription New,Gold,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20011,PSI-Subscription New-Platinum-Brazil-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-Brazil-Emerging-Direct VAR,Subscription New,Platinum,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20012,PSI-Subscription New-Gold-Brazil-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-Brazil-Emerging-Direct VAR,Subscription New,Gold,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20013,PSI-Subscription New-Platinum-USCanada-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-USCanada-Direct VAR,Subscription New,Platinum,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20014,PSI-Subscription New-Gold-USCanada-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-USCanada-Direct VAR,Subscription New,Gold,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20015,PSI-Subscription New-Platinum-ANZ-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-ANZ-Mature-Direct VAR,Subscription New,Platinum,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20016,PSI-Subscription New-Gold-ANZ-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-ANZ-Mature-Direct VAR,Subscription New,Gold,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20017,PSI-Subscription New-Platinum-ASEAN-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-ASEAN-Emerging-Direct VAR,Subscription New,Platinum,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20018,PSI-Subscription New-Gold-ASEAN-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-ASEAN-Emerging-Direct VAR,Subscription New,Gold,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20019,PSI-Subscription New-Platinum-Taiwan-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-Taiwan-Emerging-Direct VAR,Subscription New,Platinum,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20020,PSI-Subscription New-Gold-Taiwan-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-Taiwan-Emerging-Direct VAR,Subscription New,Gold,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20021,PSI-Subscription New-Platinum-India-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-India-Emerging-Direct VAR,Subscription New,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20022,PSI-Subscription New-Gold-India-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-India-Emerging-Direct VAR,Subscription New,Gold,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20023,PSI-Subscription New-Platinum-JPY-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-JPY-Mature-Direct VAR,Subscription New,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20024,PSI-Subscription New-Gold-JPY-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-JPY-Mature-Direct VAR,Subscription New,Gold,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20025,PSI-Subscription New-Platinum-Korea-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-Korea-Mature-Direct VAR,Subscription New,Platinum,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20026,PSI-Subscription New-Gold-Korea-Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-Korea-Mature-Direct VAR,Subscription New,Gold,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20027,PSI-Subscription New-Gold-EMEA_EURO_EFTA_Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_EURO_EFTA_Mature-Direct VAR,Subscription New,Gold,EMEA_EURO_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20028,PSI-Subscription New-Platinum-EMEA_EURO_EFTA_Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_EURO_EFTA_Mature-Direct VAR,Subscription New,Platinum,EMEA_EURO_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20029,PSI-Subscription New-Gold-EMEA_GBP_EFTA_Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_GBP_EFTA_Mature-Direct VAR,Subscription New,Gold,EMEA_GBP_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20030,PSI-Subscription New-Platinum-EMEA_GBP_EFTA_Mature-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_GBP_EFTA_Mature-Direct VAR,Subscription New,Platinum,EMEA_GBP_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20031,PSI-Subscription New-Gold-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_USD_MEAMSD-Emerging-Direct VAR,Subscription New,Gold,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20032,PSI-Subscription New-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,Subscription New,Platinum,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20033,PSI-Subscription New-Gold-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_USD_TURKEY-Emerging-Direct VAR,Subscription New,Gold,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20034,PSI-Subscription New-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,Subscription New,Platinum,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20035,PSI-Subscription New-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,Subscription New,Gold,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20036,PSI-Subscription New-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,Subscription New,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20037,PSI-Subscription New-Platinum-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-EMEA_USD_RUSSIA-Emerging-Direct VAR,Subscription New,Platinum,EMEA_USD_RUSSIA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20038,PSI-Subscription New-Gold-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-EMEA_USD_RUSSIA-Emerging-Direct VAR,Subscription New,Gold,EMEA_USD_RUSSIA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20039,PSI-Subscription New-Gold-Greater China-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Gold-Greater China-Emerging-Direct VAR,Subscription New,Gold,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
20040,PSI-Subscription New-Platinum-Greater China-Emerging-Direct VAR,{},0.18,15000,PSI-Subscription New-Platinum-Greater China-Emerging-Direct VAR,Subscription New,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100,,,,,,
