rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
10000,PTI - Total Billing,{},0.0,1000,PTI - Total Billing,,,,,reseller,11/01/2020,01/31/2021,,,100
10001,PTI - Program Eligible Billing - M2S Initial Switch ,{},0.0,2000,PTI - Program Eligible Billing - M2S Initial Switch ,M2S Initial Switch,,,,reseller,11/01/2020,01/31/2021,,,100
10002,PTI - Program Eligible Billing - M2S Renewal ,{},0.0,3000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,,,,reseller,11/01/2020,01/31/2021,,,100
10003,PTI - Program Eligible Billing - M2S Online Renewal ,{},0.0,4000,PTI - Program Eligible Billing - M2S Online Renewal ,M2S Online Renewal,,,,reseller,11/01/2020,01/31/2021,,,100
10004,PTI-M2S Initial Switch-Platinum-India-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,India-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10005,PTI-M2S Initial Switch-Gold-India-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,India-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10006,PTI-M2S Initial Switch-Platinum-ANZ-Mature-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,ANZ-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10007,PTI-M2S Initial Switch-Gold-ANZ-Mature-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,ANZ-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10008,PTI-M2S Initial Switch-Platinum-JPY-Mature-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,JPY-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10009,PTI-M2S Initial Switch-Gold-JPY-Mature-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,JPY-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10010,PTI-M2S Initial Switch-Platinum-Korea-Mature-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Korea-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10011,PTI-M2S Initial Switch-Gold-Korea-Mature-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Korea-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10012,PTI-M2S Initial Switch-Platinum-ASEAN-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,ASEAN-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10013,PTI-M2S Initial Switch-Gold-ASEAN-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,ASEAN-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10014,PTI-M2S Initial Switch-Platinum-Taiwan-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Taiwan-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10015,PTI-M2S Initial Switch-Gold-Taiwan-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Taiwan-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10016,PTI-M2S Initial Switch-Platinum-Greater China-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Greater China-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10017,PTI-M2S Initial Switch-Gold-Greater China-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Greater China-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10018,PTI-M2S Initial Switch-Platinum-Hong Kong-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Hong Kong-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10019,PTI-M2S Initial Switch-Gold-Hong Kong-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Hong Kong-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10020,PTI-M2S Initial Switch-Platinum-Brazil-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Brazil-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10021,PTI-M2S Initial Switch-Gold-Brazil-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Brazil-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10022,PTI-M2S Initial Switch-Platinum-Mexico-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,Mexico-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10023,PTI-M2S Initial Switch-Gold-Mexico-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,Mexico-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10024,PTI-M2S Initial Switch-Platinum-MCO-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,MCO-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10025,PTI-M2S Initial Switch-Gold-MCO-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,MCO-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10026,PTI-M2S Initial Switch-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10027,PTI-M2S Initial Switch-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,EMEA_USD_AFRICA-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10028,PTI-M2S Initial Switch-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_USD_TURKEY-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10029,PTI-M2S Initial Switch-Gold-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,EMEA_USD_TURKEY-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10030,PTI-M2S Initial Switch-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_USD_MEAMSD-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10031,PTI-M2S Initial Switch-Gold-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,EMEA_USD_MEAMSD-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10032,PTI-M2S Initial Switch-Platinum-USCanada-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,USCanada,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10033,PTI-M2S Initial Switch-Gold-USCanada-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,USCanada,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10034,PTI-M2S Initial Switch-Platinum-EMEA_EURO_EFTA_Mature-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_EURO_EFTA_Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10035,PTI-M2S Initial Switch-Gold-EMEA_EURO_EFTA_Mature-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,EMEA_EURO_EFTA_Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10036,PTI-M2S Initial Switch-Platinum-EMEA_GBP_EFTA_Mature-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_GBP_EFTA_Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10037,PTI-M2S Initial Switch-Gold-EMEA_GBP_EFTA_Mature-Direct VAR,{},0.085,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Gold,EMEA_GBP_EFTA_Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10038,PTI-M2S Initial Switch-Platinum-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},0.115,5000,PTI - Payout Eligible Billing - M2S Initial Switch,M2S Initial Switch,Platinum,EMEA_USD_RUSSIA-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
