rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
60000,PVI - Total Billing,{},0.0,57000,PVI - Total Billing,,,,,,11/01/2020,01/31/2021,,,100
60001,PVI - Program Eligible Billing - Subscription New,{},0.0,58000,PVI - Program Eligible Billing - Subscription New,,,,,,11/01/2020,01/31/2021,,,100
60002,PVI - Program Eligible Billing - Subscription Renewal,{},0.0,59000,PVI - Program Eligible Billing - Subscription Renewal,,,,,,11/01/2020,01/31/2021,,,100
60003,PVI-Subscription New-Platinum-USCanada-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60004,PVI-Subscription New-Platinum-India-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60005,PVI-Subscription New-Platinum-ANZ-Mature-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ANZ-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60006,PVI-Subscription New-Platinum-EMEA_EURO_EFTA_Mature-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_EURO_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60007,PVI-Subscription New-Platinum-EMEA_GBP_EFTA_Mature-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_GBP_EFTA_Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60008,PVI-Subscription New-Platinum-Brazil-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60009,PVI-Subscription New-Platinum-Mexico-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60010,PVI-Subscription New-Platinum-MCO-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60011,PVI-Subscription New-Platinum-ASEAN-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ASEAN-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60012,PVI-Subscription New-Platinum-Taiwan-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60013,PVI-Subscription New-Platinum-Korea-Mature-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Korea-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60014,PVI-Subscription New-Platinum-Greater China-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60015,PVI-Subscription New-Platinum-Hong Kong-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60016,PVI-Subscription New-Platinum-JPY-Mature-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60017,PVI-Subscription New-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60018,PVI-Subscription New-Platinum-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_RUSSIA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60019,PVI-Subscription New-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60020,PVI-Subscription New-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
60021,PVI-Subscription New-Gold-USCanada-Direct VAR,{},0.06,60000,PVI - Payout Eligible Billing - Subscription New,Subscription New,Gold,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
