rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
100000,VCP - Total Billing,{},0,76000,VCP - Total Billing,,,,,VCP,11/01/2020,01/31/2021,,,100
100001,VCP - Program Eligible Billing - Subscription New,{},0,77000,VCP - Program Eligible Billing - Subscription New,Subscription New,,,,VCP,11/01/2020,01/31/2021,,,100
100002,VCP - Program Eligible Billing - Subscription Renewal,{},0,78000,VCP - Program Eligible Billing - Subscription Renewal,Subscription Renewal,,,,VCP,11/01/2020,01/31/2021,,,100
100003,VCP - Program Eligible Billing - Online Renewal,{},0,79000,VCP - Program Eligible Billing - Online Renewal,Online Renewal,,,,VCP,11/01/2020,01/31/2021,,,100
100004,VCP-Subscription New-Level 2-USCanada-DMR,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",80000,VCP - Payout Eligible Billing - Subscription New,Subscription New,Level 2,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100005,VCP-Subscription New-Level 3-USCanada-DMR,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",80000,VCP - Payout Eligible Billing - Subscription New,Subscription New,Level 3,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100006,VCP-Subscription New-Level 2-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",80000,VCP - Payout Eligible Billing - Subscription New,Subscription New,Level 2,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100007,VCP-Subscription New-Level 3-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",80000,VCP - Payout Eligible Billing - Subscription New,Subscription New,Level 3,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100008,VCP-Subscription Renewal-Level 2-USCanada-DMR,{},"[{""start"":0,""value"":0.06},{""start"":0.5,""value"": 0.07},{""start"":1.0,""value"": 0.08}]",81000,VCP - Payout Eligible Billing - Subscription Renewal - On-Time,Subscription Renewal,Level 2,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100009,VCP-Subscription Renewal-Level 3-USCanada-DMR,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",81000,VCP - Payout Eligible Billing - Subscription Renewal - On-Time,Subscription Renewal,Level 3,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100010,VCP-Subscription Renewal-Level 2-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",81000,VCP - Payout Eligible Billing - Subscription Renewal - On-Time,Subscription Renewal,Level 2,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100011,VCP-Subscription Renewal-Level 3-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",81000,VCP - Payout Eligible Billing - Subscription Renewal - On-Time,Subscription Renewal,Level 3,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100012,VCP-Online Renewal-Level 2-USCanada-DMR,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",83000,VCP - Payout Eligible Billing - Online Renewal - On-Time,Online Renewal,Level 2,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100013,VCP-Online Renewal-Level 3-USCanada-DMR,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",83000,VCP - Payout Eligible Billing - Online Renewal - On-Time,Online Renewal,Level 3,USCanada,DMR,VCP,11/01/2020,01/31/2021,False,,100
100014,VCP-Online Renewal-Level 2-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",83000,VCP - Payout Eligible Billing - Online Renewal - On-Time,Online Renewal,Level 2,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100015,VCP-Online Renewal-Level 3-USCanada-VCP Government,{},"[{""start"":0,""value"":0.045},{""start"":0.5,""value"": 0.045},{""start"":1.0,""value"": 0.045}]",83000,VCP - Payout Eligible Billing - Online Renewal - On-Time,Online Renewal,Level 3,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,False,,100
100016,VCP-Subscription Renewal-Level 2-USCanada-DMR,{},0.06,82000,VCP - Payout Eligible Billing - Subscription Renewal - Early & Late,Subscription Renewal,Level 2,USCanada,DMR,VCP,11/01/2020,01/31/2021,True,,100
100017,VCP-Subscription Renewal-Level 3-USCanada-DMR,{},0.045,82000,VCP - Payout Eligible Billing - Subscription Renewal - Early & Late,Subscription Renewal,Level 3,USCanada,DMR,VCP,11/01/2020,01/31/2021,True,,100
100018,VCP-Subscription Renewal-Level 2-USCanada-VCP Government,{},0.045,82000,VCP - Payout Eligible Billing - Subscription Renewal - Early & Late,Subscription Renewal,Level 2,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,True,,100
100019,VCP-Subscription Renewal-Level 3-USCanada-VCP Government,{},0.045,82000,VCP - Payout Eligible Billing - Subscription Renewal - Early & Late,Subscription Renewal,Level 3,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,True,,100
100020,VCP-Online Renewal-Level 2-USCanada-DMR,{},0.045,84000,VCP - Payout Eligible Billing - Online Renewal - Early & Late,Online Renewal,Level 2,USCanada,DMR,VCP,11/01/2020,01/31/2021,True,,100
100021,VCP-Online Renewal-Level 3-USCanada-DMR,{},0.045,84000,VCP - Payout Eligible Billing - Online Renewal - Early & Late,Online Renewal,Level 3,USCanada,DMR,VCP,11/01/2020,01/31/2021,True,,100
100022,VCP-Online Renewal-Level 2-USCanada-VCP Government,{},0.045,84000,VCP - Payout Eligible Billing - Online Renewal - Early & Late,Online Renewal,Level 2,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,True,,100
100023,VCP-Online Renewal-Level 3-USCanada-VCP Government,{},0.045,84000,VCP - Payout Eligible Billing - Online Renewal - Early & Late,Online Renewal,Level 3,USCanada,VCP Government,VCP,11/01/2020,01/31/2021,True,,100
100024,VCP - Attainment Tracker - All Authorizations - On-Time,{},0,85000,VCP - Attainment Tracker - All Authorizations - On-Time,,,,,VCP,11/01/2020,01/31/2021,,,100
