rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
90000,VI - Total Billing,{},0.0,71000,VI - Total Billing,,,,,Distributor,11/01/2020,01/31/2021,,,100
90001,VI - Program Eligible Billing,{},0.0,72000,VI - Program Eligible Billing,,,,,Distributor,11/01/2020,01/31/2021,,,100
90002,VI-Value Incentive (AutoCAD)-N/A-EMEA_EURO_EFTA_Mature-VAD,{},0.035,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_EURO_EFTA_Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90003,VI-Value Incentive (AutoCAD)-N/A-EMEA_GBP_EFTA_Mature-VAD,{},0.025,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_GBP_EFTA_Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90004,VI-Value Incentive (AutoCAD)-N/A-EMEA_USD_RUSSIA-Emerging-VAD,{},0.0135,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_USD_RUSSIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90005,VI-Value Incentive (AutoCAD)-N/A-EMEA_USD_AFRICA-Emerging-VAD,{},0.0135,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_USD_AFRICA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90006,VI-Value Incentive (AutoCAD)-N/A-EMEA_USD_MEAMSD-Emerging-VAD,{},0.0135,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_USD_MEAMSD-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90007,VI-Value Incentive (AutoCAD)-N/A-EMEA_USD_TURKEY-Emerging-VAD,{},0.0135,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,EMEA_USD_TURKEY-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90008,VI-Value Incentive (AutoCAD)-N/A-Brazil-Emerging-VAD,{},0.023,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Brazil-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90009,VI-Value Incentive (AutoCAD)-N/A-Mexico-Emerging-VAD,{},0.023,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Mexico-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90010,VI-Value Incentive (AutoCAD)-N/A-MCO-Emerging-VAD,{},0.023,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,MCO-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90011,VI-Value Incentive (AutoCAD)-N/A-AUSTRALIA-Mature-VAD,{},0.01,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,AUSTRALIA-Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90012,VI-Value Incentive (AutoCAD)-N/A-JPY-Mature-VAD,{},0.03,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,JPY-Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90013,VI-Value Incentive (AutoCAD)-N/A-Korea-Mature-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Korea-Mature,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90014,VI-Value Incentive (AutoCAD)-N/A-India-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,India-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90015,VI-Value Incentive (AutoCAD)-N/A-CAMBODIA-Emerging-VAD,{},0.03,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,CAMBODIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90016,VI-Value Incentive (AutoCAD)-N/A-Greater China-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Greater China-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90017,VI-Value Incentive (AutoCAD)-N/A-Hong Kong-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Hong Kong-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90018,VI-Value Incentive (AutoCAD)-N/A-Taiwan-Emerging-VAD,{},0.01,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,Taiwan-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90019,VI-Value Incentive (AutoCAD)-N/A-SINGAPORE-Emerging-VAD,{},0.025,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,SINGAPORE-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90020,VI-Value Incentive (AutoCAD)-N/A-INDONESIA-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,INDONESIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90021,VI-Value Incentive (AutoCAD)-N/A-MYANMAR-Emerging-VAD,{},0.03,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,MYANMAR-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90022,VI-Value Incentive (AutoCAD)-N/A-MALAYSIA-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,MALAYSIA-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90023,VI-Value Incentive (AutoCAD)-N/A-PHILIPPINES-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,PHILIPPINES-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
90024,VI-Value Incentive (AutoCAD)-N/A-THAILAND-Emerging-VAD,{},0.02,75000,VI - Payout Eligible Billing - AutoCAD,Value Incentive (AutoCAD),,THAILAND-Emerging,VAD,Distributor,11/01/2020,01/31/2021,False,,100
