,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0.1,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
0,FL Pinellas 19-31-17-74466-052-0040,FL Pinellas540 2nd Ave,P2834,2,Saint Petersburg,FL,33701    ,Pinellas,,,0.48,146,0.07045000000000001,0.0623,610.0,0.006999999999999999,0.342,,Elevator,1981.0,,2012-11-19,10150000,13.82,,Masonry,,,,,,146.0,2.0,610.0,0.006999999999999999,0.062,,,,,,,,,,,,,,,,44.1,45.6,4211.0,46.0,3821.0,,,,,,,2169594.444055944,,,,,,,,,10150000,71049.99999999999,604910.9991641877
1,FL Pinellas 19-31-17-74466-011-0090,FL Pinellas235 3rd Ave,P2837,4,Saint Petersburg,FL,337014242,Pinellas,,,1.8874,309,0.07045000000000001,0.0359,820.0,0.005,0.45299999999999996,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Grill",2014.0,,2017-06-20,,,,Masonry,1.0,3.0,493.0,0.006,0.0,218.0,2.0,713.0,0.005,0.037000000000000005,90.0,2.0,1082.0,0.005,0.033,,,,,,,,,,,45.5,47.1,4297.0,47.6,3698.0,4206.0,S4207,FL Pinellas 235 3rd Ave,5.0,,,2169594.444055944,46000000.0,2015.0,3.393541325,8.0,277.96,41088269.58,2016-12-14,77550000.0,77550000.0,387750.0,5536631.63459834
2,FL Pinellas 19-31-17-74466-011-0090,FL Pinellas235 3rd Ave,P2837,4,Saint Petersburg,FL,337014242,Pinellas,,,1.8874,309,0.07045000000000001,0.0359,820.0,0.005,0.45299999999999996,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Grill",2014.0,,2017-06-20,,,,Masonry,1.0,3.0,493.0,0.006,0.0,218.0,2.0,713.0,0.005,0.037000000000000005,90.0,2.0,1082.0,0.005,0.033,,,,,,,,,,,45.5,47.1,4297.0,47.6,3698.0,4623.0,S4624,FL Pinellas 235 3rd Ave,5.0,,,4006352.0,66800000.0,2017.0,3.393541325,8.0,,,2017-06-20,,66800000.0,334000.0,4612947.621201121
3,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas430 3rd Ave,P2838,4,Saint Petersburg,FL,337013294,Pinellas,,Active,4.3464,326,0.045,0.0558,883.0,0.006999999999999999,0.8440000000000001,102.0,"Business Center, Courtyard, Fitness Center, Grill, Community-Wide WiFi, Lounge, Multi Use Room",2014.0,,2015-09-16,84500000,13.98,,Masonry,36.0,2.0,582.0,0.009000000000000001,0.083,159.0,2.0,727.0,0.006,0.05,124.0,2.0,1145.0,0.006,0.057,7.0,2.0,1360.0,0.006,0.0,,,,,,43.7,45.4,4286.0,45.8,3906.0,4676.0,S4677,FL Pinellas 430 3rd Ave,5.0,,0.045,4987800.0,5062770.0,2014.0,2.920778116,4.0,152.81,19441376.77,2015-09-16,84500000.0,84500000.0,591499.9999999999,3817693.8148697307
4,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas430 3rd Ave,P2838,4,Saint Petersburg,FL,337013294,Pinellas,,Active,4.3464,326,0.07045000000000001,0.0558,883.0,0.006999999999999999,0.8440000000000001,102.0,"Business Center, Courtyard, Fitness Center, Grill, Community-Wide WiFi, Lounge, Multi Use Room",2014.0,,2015-09-16,84500000,13.98,,Masonry,36.0,2.0,582.0,0.009000000000000001,0.083,159.0,2.0,727.0,0.006,0.05,124.0,2.0,1145.0,0.006,0.057,7.0,2.0,1360.0,0.006,0.0,,,,,,43.7,45.4,4286.0,45.8,3906.0,5035.0,S5036,FL Pinellas 430 3rd Ave,5.0,,,4987800.0,5062770.0,2014.0,2.920778116,4.0,56.01,7125921.87,2015-09-16,10437600.0,10437600.0,73063.2,412079.7632281297
5,FL Pinellas 19-31-17-74466-061-0030,FL Pinellas518 3rd Ave,P2839,3,Saint Petersburg,FL,33701    ,Pinellas,,,0.2748,188,0.07045000000000001,0.0277,548.0,0.005,0.266,,"Fitness Center, Laundry Facilities, Gated, Gameroom, Media Center/Movie Theatre, Pet Play Area",1971.0,2009.0,2009-06-30,6800000,13.74,,Masonry,83.0,2.0,396.0,0.005,0.036000000000000004,105.0,1.0,668.0,0.004,0.019,,,,,,,,,,,,,,,,43.1,44.9,4501.0,45.4,4138.0,1223.0,S1224,FL Pinellas 518 3rd Ave,48.0,,,616000.0,4400000.0,2008.0,10.91186299,11.0,52.06,24745269.29,2009-06-30,6800000.0,6800000.0,34000.0,450538.0026740719
6,FL Pinellas 18-30-17-11342-002-0010,FL Pinellas10501 3rd St,P2840,4,Saint Petersburg,FL,337163941,Pinellas,,,17.0,276,0.07045000000000001,0.0692,946.0,0.016,1.359,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Tennis Court, Car Wash Area, Package Service, Storage Space, Lounge, Maintenance on site",1974.0,2007.0,2015-01-15,23250000,,,Masonry,,,,,,68.0,1.0,689.0,0.040999999999999995,0.07400000000000001,144.0,1.0,952.0,0.0,0.069,64.0,1.0,1203.0,0.027999999999999997,0.063,,,,,,36.0,36.8,5737.0,37.5,4590.0,,,,,,,2169594.444055944,,,,,,,,,23250000,372000.0,1623680.674061301
7,FL Pinellas 19-31-17-93451-001-0010,FL Pinellas330 3rd St,P2842,4,Saint Petersburg,FL,337014251,Pinellas,,,2.8921,358,0.05,0.058899999999999994,989.0,0.006999999999999999,0.9079999999999999,,"Business Center, Clubhouse, Fitness Center, Elevator",2016.0,,2018-01-11,126300000,13.23,,Steel,16.0,3.0,607.0,0.006999999999999999,0.063,161.0,3.0,768.0,0.006999999999999999,0.055999999999999994,149.0,2.0,1172.0,0.006999999999999999,0.06,32.0,2.0,1443.0,0.006999999999999999,0.063,,,,,,45.2,46.6,3724.0,46.9,3311.0,4658.0,S4659,FL Pinellas 330 3rd St,3.0,0.05,,4818621.0,68054500.0,2017.0,2.825764612,18.0,354.79,43670689.12,2018-01-11,126300000.0,126300000.0,884099.9999999999,6501194.29391138
8,FL Pinellas 30-30-17-00000-330-0100,FL Pinellas7230 4th St,P2844,2,Saint Petersburg,FL,337025803,Pinellas,,,16.43,236,0.0722,0.04190000000000001,,0.0,0.042,,,1985.0,,2014-09-29,7675676,8.06,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,43.0,3234.0,43.3,3171.0,3067.0,S3068,FL Pinellas 7230 4th St,34.0,,0.0722,2501500.0,3400000.0,2004.0,0.008718859,1.0,1116.67,424102.25,2005-06-30,6968000.0,6968000.0,0.0,336584.17701701284
9,FL Pinellas 19-30-17-25434-010-0010,FL Pinellas8624 4th St,P2845,2,Saint Petersburg,FL,337023104,Pinellas,,,9.2519,112,0.07045000000000001,0.042,,0.0,0.08900000000000001,,,1955.0,,2018-01-16,3400000,6.98,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,42.3,3016.0,42.6,2859.0,269.0,S270,FL Pinellas 8624 4th St,64.0,,,1971474.0,2567100.0,2017.0,0.00024813200000000003,1.0,34000.0,367492.08,2018-01-16,3400000.0,3400000.0,0.0,105051.83371607518
10,FL Pinellas 19-30-17-25434-010-0010,FL Pinellas8624 4th St,P2845,2,Saint Petersburg,FL,337023104,Pinellas,,,9.2519,112,0.07045000000000001,0.042,,0.0,0.08900000000000001,,,1955.0,,2018-01-16,3400000,6.98,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,42.3,3016.0,42.6,2859.0,381.0,S382,FL Pinellas 8624 4th St,64.0,,,1038000.0,1070700.0,1998.0,0.00024813200000000003,1.0,15400.0,166452.3,1999-08-23,1540000.0,1540000.0,0.0,36916.388308977046
11,FL Pinellas 18-30-17-56445-001-0010,FL Pinellas10600 4th St,P2846,4,Saint Petersburg,FL,337163282,Pinellas,,,17.6711,212,0.07045000000000001,0.0665,864.0,0.0,0.0,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Spa, Tennis Court, Gated, Basketball Court, Breakfast/Coffee Concierge, Cabana, Package Service, Volleyball Court, Wi-Fi, Storage Space, Lounge, Maintenance on site, Sundeck",1986.0,2007.0,2016-01-20,23500000,5.52,,Wood Frame,,,,,,77.0,2.0,650.0,0.0,0.065,119.0,1.0,966.0,0.0,0.067,16.0,2.0,1134.0,0.0,0.063,,,,,,35.9,36.8,5704.0,37.5,4563.0,2353.0,S2354,FL Pinellas 10600 4th St,33.0,,,2169594.444055944,15450000.0,2015.0,0.536505866,3.0,56.9,1329854.96,2016-01-20,23500000.0,23500000.0,0.0,1609777.259149715
12,FL Pinellas 18-30-17-87363-001-0010,FL Pinellas11400 4th St,P2847,3,Saint Petersburg,FL,33716    ,Pinellas,,,16.6333,200,0.061,0.013500000000000002,726.0,0.004,2.0,,"24 Hour Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Tennis Court, Breakfast/Coffee Concierge, Car Wash Area, Grill, Laundry Service, Lake Access, Lounge, Maintenance on site, Online Services",1980.0,,2012-09-24,12750000,7.0,,Masonry,,,,,,112.0,2.0,630.0,0.004,0.018000000000000002,88.0,2.0,848.0,0.004,0.011000000000000001,,,,,,,,,,,35.8,36.7,4839.0,37.4,3757.0,2475.0,S2476,FL Pinellas 11400 4th St,39.0,0.061,,1302812.0,6700000.0,2011.0,0.200500727,2.0,87.77,766534.6,2012-09-24,12750000.0,12750000.0,51000.0,710987.8033451596
13,FL Pinellas 18-30-17-05480-001-0010,FL Pinellas11601 4Th St,P2848,3,Saint Petersburg,FL,33716,Pinellas,,,52.55,631,0.054400000000000004,0.0458,751.0,0.0,1.64,,"Controlled Access, Fitness Center, Tennis Court, Gated, Basketball Court, Racquetball Court, Volleyball Court",1984.0,,2014-07-21,53000000,7.04,,Masonry,,,,,,448.0,2.0,650.0,0.0,0.047,183.0,1.0,997.0,0.0,0.044000000000000004,,,,,,,,,,,35.8,36.7,4528.0,37.3,3518.0,6262.0,S6263,FL Pinellas 11601 4th St,35.0,,0.054400000000000004,3173387.0,24250000.0,2013.0,0.204757112,2.0,113.08,1008563.27,2014-07-21,53000000.0,53000000.0,0.0,2840670.4539928734
