,Unnamed: 0_x,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0_y,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
0,2,NC Forsyth 6835-56-7348,NC Forsyth980 2nd St,P8145,2,Winston Salem,NC,271014416,Forsyth,,N,14.41,108,0.05,0.0556,806.0,0.006,1.8519999999999999,,"Business Center, Laundry Facilities",1981.0,,2019-06-28 00:00:00.000000000,4860000,,,Wood Frame,,,,,,40.0,0.96,577.0,0.006,0.05,50.0,0.73,884.0,0.006,0.06,18.0,0.77,1100.0,0.006,0.055999999999999994,,,,,,33.6,35.4,3116.0,36.5,2996.0,11313.0,S11314,NC Forsyth 980 2nd St,38.0,,0.05,282900.0,2744900.0,2019.0,0.17524323,2.0,44.18,337265.79,1970-01-01 00:00:00.000043644,4860000.0,4860000.0,29160.0,243872.2998729352
1,6,NC Mecklenburg 078-062-01,NC Mecklenburg517 8th St,P8149,3,Charlotte,NC,28202,Mecklenburg,,N,3.59,120,0.0471,0.0333,945.0,0.005,1.125,,"Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Car Wash Area",1985.0,,2015-01-30 00:00:00.000000000,20700000,0.7,14.0,Wood Frame,,,,,,48.0,1.66,784.0,0.005,0.042,72.0,1.52,1052.0,0.005,0.027999999999999997,,,,,,,,,,,32.7,33.7,10018.0,35.1,8795.0,11092.0,S11093,NC Mecklenburg 517 8th St,34.0,,0.0471,9374983.0,11160000.0,2013.0,0.725003197,3.0,182.58,5766016.71,1970-01-01 00:00:00.000042034,20700000.0,20700000.0,103500.0,556825.4377780077
2,6,NC Mecklenburg 078-062-01,NC Mecklenburg517 8th St,P8149,3,Charlotte,NC,28202,Mecklenburg,,N,3.59,120,0.051699999999999996,0.0333,945.0,0.005,1.125,,"Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Car Wash Area",1985.0,,2015-01-30 00:00:00.000000000,20700000,0.7,14.0,Wood Frame,,,,,,48.0,1.66,784.0,0.005,0.042,72.0,1.52,1052.0,0.005,0.027999999999999997,,,,,,,,,,,32.7,33.7,10018.0,35.1,8795.0,11102.0,S11103,NC Mecklenburg 517 8th St,34.0,,0.051699999999999996,2072367.2005420055,16946200.0,2011.0,0.725003197,3.0,142.45,4498607.24,1970-01-01 00:00:00.000041060,16150000.0,16150000.0,80750.0,757203.2592655201
3,9,NC Catawba 2793129644110000,NC Catawba1227 10th Street Blvd,P8152,3,Hickory,NC,286012367,Catawba,,N,9.43,118,0.069,0.0593,944.0,0.0,1.169,,"Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Tennis Court, Basketball Court, Furnished Units Available, Grill, Maid Service, Package Service, Storage Space, House Sitter Services, Maintenance on site, Pet Care, Sundeck",1981.0,1997.0,2012-07-09 00:00:00.000000000,5930000,,,Wood Frame,,,,,,50.0,1.06,780.0,0.0,0.06,50.0,0.92,1015.0,0.0,0.06,18.0,0.91,1200.0,0.0,0.055999999999999994,,,,,,41.2,41.4,628.0,41.9,634.0,11258.0,S11259,NC Catawba 1227 10th Street Blvd,38.0,,0.069,534000.0,4985900.0,2007.0,0.271709229,3.0,56.45,668080.59,1970-01-01 00:00:00.000039595,6300000.0,6300000.0,0.0,422933.9853300734
4,9,NC Catawba 2793129644110000,NC Catawba1227 10th Street Blvd,P8152,3,Hickory,NC,286012367,Catawba,,N,9.43,118,0.0775,0.0593,944.0,0.0,1.169,,"Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Tennis Court, Basketball Court, Furnished Units Available, Grill, Maid Service, Package Service, Storage Space, House Sitter Services, Maintenance on site, Pet Care, Sundeck",1981.0,1997.0,2012-07-09 00:00:00.000000000,5930000,,,Wood Frame,,,,,,50.0,1.06,780.0,0.0,0.06,50.0,0.92,1015.0,0.0,0.06,18.0,0.91,1200.0,0.0,0.055999999999999994,,,,,,41.2,41.4,628.0,41.9,634.0,11275.0,S11276,NC Catawba 1227 10th Street Blvd,38.0,,0.0775,661521.4285714285,5117100.0,2011.0,0.271709229,3.0,53.13,628844.11,1970-01-01 00:00:00.000041099,5930000.0,5930000.0,0.0,434046.01816276636
5,12,NC Catawba 2793196017830000,NC Catawba151 18th St,P8155,3,Hickory,NC,28601,Catawba,,N,8.61,105,0.0775,0.0857,893.0,0.009000000000000001,0.0,,Laundry Facilities,1974.0,,2017-08-31 00:00:00.000000000,3500000,,,,,,,,,,,,,,40.0,0.79,760.0,0.009000000000000001,0.075,55.0,0.78,968.0,0.009000000000000001,0.091,10.0,0.84,1012.0,0.009000000000000001,0.1,36.6,37.8,1024.0,38.8,997.0,11366.0,S11367,NC Catawba 151 18th St,45.0,,0.0775,300000.0,1741200.0,2016.0,0.355391667,3.0,26.26,406504.07,1970-01-01 00:00:00.000042978,3500000.0,3500000.0,31500.000000000004,273915.8372525429
6,13,NC Catawba 3713077737980000,NC Catawba1750 20th Avenue Dr,P8156,3,Hickory,NC,28601,Catawba,,N,11.33,129,0.061366151685393194,,1050.0,0.003,,,"Playground, Tennis Court, Volleyball Court",1978.0,,2019-05-31 00:00:00.000000000,6240000,,,,,,,,,34.0,0.56,1050.0,0.003,0.0,95.0,0.53,1050.0,0.003,0.0,,,,,,,,,,,39.0,38.9,1262.0,39.5,1207.0,,,,,,,661521.4285714285,,,,,,,,,6240000,18720.0,
7,14,NC Catawba 3713087779170000,NC Catawba1820 20th Avenue Dr,P8157,3,Hickory,NC,286010506,Catawba,,N,5.2,108,0.099,,659.0,0.002,,,"Property Manager on Site, Pet Play Area",1987.0,,2008-04-14 00:00:00.000000000,2300000,,,,,,,,,28.0,1.04,570.0,0.002,0.0,80.0,0.9,690.0,0.003,0.0,,,,,,,,,,,39.1,39.2,1409.0,39.8,1356.0,11414.0,S11415,NC Catawba 1820 20th Avenue Dr,32.0,,0.099,316500.0,2613900.0,,0.315303383,2.0,32.2,442307.69,1970-01-01 00:00:00.000039552,2300000.0,2300000.0,4600.0,
8,14,NC Catawba 3713087779170000,NC Catawba1820 20th Avenue Dr,P8157,3,Hickory,NC,286010506,Catawba,,N,5.2,108,0.061366151685393194,,659.0,0.002,,,"Property Manager on Site, Pet Play Area",1987.0,,2008-04-14 00:00:00.000000000,2300000,,,,,,,,,28.0,1.04,570.0,0.002,0.0,80.0,0.9,690.0,0.003,0.0,,,,,,,,,,,39.1,39.2,1409.0,39.8,1356.0,11421.0,S11422,NC Catawba 1820 20th Avenue Dr,32.0,,,293900.0,2628100.0,2006.0,0.315303383,2.0,30.8,423076.92,1970-01-01 00:00:00.000039380,2200000.0,2200000.0,4400.0,
9,17,NC Mecklenburg 079-095-13,NC Mecklenburg417 25th St,P8160,2,Charlotte,NC,282062672,Mecklenburg,,N,25.2949,135,0.061366151685393194,,556.0,0.0,0.10400000000000001,,,1948.0,,2007-01-08 00:00:00.000000000,3750000,9.29,,Wood Frame,,,,,,55.0,,470.0,,,79.0,,617.0,,,1.0,,489.0,,,,,,,,34.9,36.8,3001.0,37.8,3150.0,,,,,,,2072367.2005420055,,,,,,,,,3750000,0.0,
