,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
0,S1,FL Hillsborough S1,FL Hillsborough 17470 Brookside Trace Ct,2.0,,,,,,1.0498614179999999,,332.02,15183761.28,4/1/19,49802737.0,Newmark Knight Frank
1,S2,FL Leon 21-36-90-118-955.0,FL Leon 705 Madison St,1.0,,,1646565.0,1646565.0,2017.0,2.981570725,5.0,120.69,15674603.17,8/1/18,39500000.0,
2,S3,FL Miami/Dade 14-2235-001-0130,FL Miami/Dade 9201 Collins Ave,67.0,,,4314390.0,18307413.0,2003.0,,11.0,370.58,,9/22/04,33500000.0,
3,S4,FL Sarasota 2033-04-0038,FL Sarasota 4 Maggie Ln,8.0,,,1188000.0,12297600.0,2015.0,1.10194109,4.0,127.11,6101102.62,7/28/16,31041800.0,
4,S5,FL Palm Beach 12-42-46-25-20-000-0010,FL Palm Beach 2200 Bloods Grove Cir,6.0,,5.3,0.0,48000.0,2013.0,0.891276865,3.0,96.34,3740444.58,10/17/14,29750000.0,ARA Newmark
5,S6,FL Hillsborough 072305-0300,FL Hillsborough 1508 Ladora Dr,16.0,,,,,,0.480891435,3.0,66.04,1383471.32,10/8/04,27738600.0,
6,S7,FL Miami/Dade 12-2226-043-0010,FL Miami/Dade 10275 Collins Ave,55.0,,,,,,2.7955085619999998,16.0,40.6,4943808.3,12/31/08,27027800.0,
7,S8,FL Palm Beach 30-43-41-08-41-000-0010,FL Palm Beach 1045 US Highway 1,5.0,4.45,,3120000.0,20572098.0,2016.0,1.474129245,4.0,247.08,15865954.92,5/31/17,26750000.0,Cushman & Wakefield
8,S9,FL Palm Beach 00-43-45-05-25-001-0000,FL Palm Beach 6116 Yellow Sun Dr,5.0,,5.53,2700619.0,15852220.0,2015.0,0.38188304799999995,2.0,146.26,2432966.7,4/14/16,24000000.0,ARA Newmark
9,S10,FL Miami/Dade 14-2235-023-0001,FL Miami/Dade 9195 Collins Ave,54.0,,8.14,,,2001.0,6.528,12.0,103.95,29558182.95,7/10/01,19000000.0,Aztec Group Inc.
10,S11,FL Palm Beach 06-43-47-30-00-000-5050,FL Palm Beach 1150 2nd Ave,53.0,5.18,,5033700.0,8448250.0,2017.0,0.6112528420000001,2.0,190.54,5073229.65,10/31/18,16800000.0,Cushman & Wakefield
11,S12,FL Miami/Dade 04-3011-002-0820,FL Miami/Dade 1310 29th St,52.0,,6.0,1279062.0,6720000.0,2016.0,0.851762613,2.0,195.46,7252252.25,6/5/17,16100000.0,
12,S13,FL Hillsborough S13,FL Hillsborough 1002 Creekbridge Rd,32.0,,,,,,0.19343252,2.0,135.33,1140284.8,2/28/19,15895000.0,ARA Newmark
13,S14,FL Leon 21-26-60-00E-001.0,FL Leon 698 Woodward Ave,56.0,6.92,8.2,2630000.0,8646582.0,2008.0,0.372534167,4.0,122.7,1991150.44,11/19/07,15750000.0,Marcus & Millichap
14,S15,FL Palm Beach 08-43-45-27-61-001-1010,FL Palm Beach 661 Woolbright Rd,44.0,,5.58,,,,0.8139319859999999,4.0,83.67,2966601.18,9/30/14,15100000.0,Cushman & Wakefield
15,S16,FL Pinellas 36-29-15-70236-100-1000,FL Pinellas 301 Seacrest Dr,46.0,,5.88,2140375.0,8800000.0,2018.0,0.347579696,2.0,118.48,1793842.03,6/27/19,13400000.0,Franklin Street
16,S17,FL Alachua S17,FL Alachua 3501 15th St,47.0,,,,,,0.238376652,2.0,158.46,1645393.32,3/16/18,13294778.0,illi Commercial Real Estate
17,S18,FL Pinellas S18,FL Pinellas,,,6.2,,,,0.0,,152.27,5124513.62,,,"Collison Capital, LLC"
18,S19,FL Hillsborough U-27-28-19-ZZZ-000001-39140.0,FL Hillsborough 7011 San Ramon Pl,50.0,,5.61,807108.0,5990708.0,2018.0,0.418258835,2.0,92.78,1690322.58,5/20/19,13100000.0,Franklin Street
19,S20,FL Miami/Dade 23-3209-011-0040,FL Miami/Dade 7545 Treasure Dr,58.0,,,3153160.0,7450000.0,2004.0,1.5585563869999999,9.0,105.81,7183511.08,2/8/05,13000000.0,
20,S21,FL Palm Beach 18-42-44-24-27-000-0010,FL Palm Beach 4521 Barclay Crescent Dr,33.0,,8.0,,,2005.0,67.04892473,1.0,104.24,304449648.7,1/11/06,13000000.0,
21,S22,FL Palm Beach 06-43-47-19-30-001-0000,FL Palm Beach 1401 7th Ave,49.0,,6.04,1800000.0,5380387.0,2005.0,0.5522882889999999,2.0,134.09,3225806.45,4/28/05,13000000.0,"Flagler Real Estate Services, LLC"
22,S23,FL Miami/Dade 30-4022-027-0010,FL Miami/Dade 5400 77th Ct,49.0,3.4,3.4,2544569.0,7972681.0,2006.0,0.5191032720000001,3.0,119.02,2691331.92,6/27/07,12730000.0,Colliers International
23,S24,FL Escambia 13-3S-31-1201-000-002,FL Escambia 9885 Loop Rd,13.0,,6.5,0.0,6554506.0,2014.0,0.7491732240000001,3.0,61.19,1996830.43,3/25/15,12600000.0,
24,S25,FL Duval 168360-0000,FL Duval 2760 Mayport Rd,32.0,,4.75,1155000.0,6387400.0,2018.0,0.310477718,2.0,143.35,1938759.81,3/14/19,12600000.0,CBRE
25,S26,FL Palm Beach 06-43-47-30-00-000-5050,FL Palm Beach 1150 2nd Ave,53.0,,6.0,3774000.0,6332725.0,2014.0,0.6112528420000001,2.0,141.77,3774724.45,9/11/15,12500000.0,Marcus & Millichap
26,S27,FL Broward 49-41-01-09-1751,FL Broward 6954 5th St,46.0,7.37,6.14,,,,0.33490444199999997,1.0,132.81,1937500.0,8/9/16,12400000.0,Marcus & Millichap
27,S28,FL Miami/Dade 04-2025-001-0041,FL Miami/Dade 8001 6th Ave,48.0,,,3257960.0,7100000.0,2005.0,0.654179506,3.0,115.6,3294117.65,10/14/05,12320000.0,"Hamilton Realty, Inc."
28,S29,FL Collier 18010080002,FL Collier 402 11th St,48.0,,6.1,204000.0,2577471.0,2015.0,0.402720721,2.0,217.08,3808049.54,10/31/16,12300000.0,Whitehall Realty Advisors
29,S30,FL Volusia 5337-35-00-0120,FL Volusia 301 Riverside Dr,47.0,,,2948400.0,3301606.0,2010.0,0.65137385,2.0,96.09,2726405.23,2/15/11,12000000.0,
30,S31,FL Miami/Dade 10-7918-001-0130,FL Miami/Dade 301 6th Ave,25.0,,,653684.0,4280000.0,2018.0,0.250041338,2.0,134.5,1464968.93,4/10/19,12000000.0,MSP Group LLC
31,S32,FL Duval 179458-0814,FL Duval 107 25th Ave,46.0,,,,,2009.0,0.794507339,3.0,37.73,1305767.14,7/29/09,12000000.0,
32,S33,FL Broward 49-42-07-01-0023,FL Broward 1201 52nd Ave,59.0,,5.22,1676140.0,5400190.0,2005.0,0.428432207,2.0,95.31,1778774.29,10/21/05,11900000.0,Marcus & Millichap
33,S34,FL Manatee 51096-1035-1,FL Manatee 4325 40th St,33.0,,5.4,2000000.0,6992041.0,2018.0,0.28391132199999997,2.0,154.95,1916264.09,1/11/19,11900000.0,Capstone Apartment Partners
34,S35,FL Volusia 5331-00-04-0226,FL Volusia 1756 Clyde Morris Blvd,34.0,,5.68,864000.0,4492772.0,2017.0,0.303524786,2.0,98.81,1306386.78,9/13/18,11700000.0,Marcus & Millichap
35,S36,FL Miami/Dade S36,FL Miami/Dade 1920 Michigan Ave,80.0,,,,,,0.9902462329999999,2.0,137.22,5918875.63,4/23/12,11660185.0,ARA Newmark
36,S37,FL Leon 11-19-20-401-000.0,FL Leon 2055 Thomasville Rd,31.0,,,1122000.0,6106750.0,2018.0,0.315233807,3.0,128.64,1766485.65,5/23/19,11385000.0,Walker & Dunlop LLC
37,S38,FL Miami/Dade 04-3013-001-0040,FL Miami/Dade 1350 6th Ave,51.0,,,1931850.0,6132212.0,2006.0,0.828946265,2.0,127.58,4606705.09,10/10/06,11350000.0,
38,S39,FL Duval 177391-0000,FL Duval 1085 Atlantic Blvd,47.0,,,1130394.0,5791300.0,2018.0,0.376816689,2.0,104.96,1722817.76,3/20/19,11250000.0,Walker & Dunlop LLC
39,S40,FL Miami/Dade 32-2024-003-2711,FL Miami/Dade 13900 Lake Placid Ct,51.0,,,769704.0,4222057.0,2003.0,0.50357004,3.0,137.5,3016129.03,8/30/04,11220000.0,
40,S41,FL Miami/Dade 30-4023-013-0121,FL Miami/Dade 4250 67th Ave,51.0,,,1264200.0,3056881.0,2006.0,0.510651089,2.0,170.39,3790228.1,8/25/06,11000000.0,
41,S42,FL Monroe 00093190-000000,FL Monroe 87425 Old Hwy,,,,0.0,3019086.0,2014.0,0.263535475,1.0,122.22,1403061.22,7/2/15,11000000.0,
42,S43,FL Pinellas 19-30-16-69786-100-0102,FL Pinellas 6700 102nd Ave,38.0,,6.5,636701.0,5700000.0,2016.0,0.45227089200000004,3.0,139.32,2744647.94,9/15/17,11000000.0,
