,index,Unnamed: 0,Unnamed: 0_x,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0_y,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
0,0,1,1,TX Bexar 00273-002-0011,TX Bexar939 Frio St,P10570,4,San Antonio,TX,78207,Bexar,,N,2.69,102,0.05,0.049,917.0,0.006,2.431,,"Controlled Access, Fitness Center, Laundry Facilities, Property Manager on Site, Gated, Maid Service, Package Service, Pet Play Area, Vintage Building, Storage Space, Elevator, Maintenance on site",2014.0,,2016-12-15 00:00:00.000000000,17500000,9.3,,Wood Frame,,,,,,73.0,1.78,683.0,0.005,0.040999999999999995,22.0,1.49,1135.0,0.005,0.046,7.0,0.87,2673.0,0.01,0.14300000000000002,,,,,,34.3,36.6,4287.0,37.8,4341.0,13258.0,S13259,TX Bexar 939 Frio St,5.0,,0.05,621540.0,16951230.0,2016.0,0.853417082,5.0,175.0,6505576.21,1970-01-01 00:00:00.000042719,17500000.0,17500000.0,105000.0,892926.3932702419
1,1,4,4,TX Travis 04120906540000,TX Travis5112 1st St,P10573,3,Austin,TX,787452293,Travis,,N,4.43,101,0.07010148148148165,0.0594,690.0,0.006,2.0,,"Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service, Maintenance on site",1982.0,,2015-06-08 00:00:00.000000000,10000000,4.84,,Wood Frame,,,,,,67.0,1.7,609.0,0.006,0.06,34.0,1.57,850.0,0.006,0.059000000000000004,,,,,,,,,,,34.6,36.2,5825.0,37.3,5228.0,,,,,,,3792399.4320987654,,,,,,,,,10000000,60000.0,467114.69821821427
2,2,5,5,TX Brown 55022,TX Brown2801 4th St,P10574,3,Brownwood,TX,768016161,Brown,,Y,7.0,104,0.07010148148148165,0.0288,860.0,0.004,1.6440000000000001,28.0,"Laundry Facilities, Playground, Basketball Court",,,2015-02-13 00:00:00.000000000,,,,,,,,,,32.0,0.98,667.0,0.005,0.031,56.0,0.9,904.0,0.004,0.018000000000000002,16.0,0.89,1090.0,0.006999999999999999,0.063,,,,,,37.6,38.1,1190.0,38.6,1134.0,13615.0,S13616,TX Brown 2801 4th St,,,,52000.0,1644010.0,2014.0,0.306696839,2.0,,,1970-01-01 00:00:00.000042048,,1644010.0,6576.04,115386.37734721489
3,3,6,6,TX Lubbock R94203,TX Lubbock5525 4th St,P10575,2,Lubbock,TX,794164230,Lubbock,5223000.0,Y,5.34,104,0.07010148148148165,0.0673,818.0,0.006999999999999999,1.923,218.0,"Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1976.0,2017.0,2015-09-03 00:00:00.000000000,,15.4,,Wood Frame,,,,,,40.0,0.83,695.0,0.008,0.075,64.0,0.75,895.0,0.008,0.063,,,,,,,,,,,31.6,31.8,3405.0,32.6,3702.0,13492.0,S13493,TX Lubbock 5525 4th St,43.0,,,465300.0,2240725.0,2015.0,0.33928464,1.0,,,1970-01-01 00:00:00.000042250,,2240725.0,15685.074999999999,134619.35215386268
4,4,7,6,TX Lubbock R94203,TX Lubbock5525 4th St,P10575,2,Lubbock,TX,794164230,Lubbock,5223000.0,Y,5.34,104,0.07010148148148165,0.0673,818.0,0.006999999999999999,1.923,218.0,"Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1976.0,2017.0,2015-09-03 00:00:00.000000000,,15.4,,Wood Frame,,,,,,40.0,0.83,695.0,0.008,0.075,64.0,0.75,895.0,0.008,0.063,,,,,,,,,,,31.6,31.8,3405.0,32.6,3702.0,13632.0,S13633,TX Lubbock 5525 4th St,43.0,,,465300.0,2106883.0,2011.0,0.33928464,1.0,,,1970-01-01 00:00:00.000040997,,2106883.0,14748.180999999999,124489.4066817542
5,5,9,8,TX Jefferson 300007-000-036300-00000-4,TX Jefferson4365 4th St,P10577,2,Beaumont,TX,777054500,Jefferson,,N,11.41,100,0.07010148148148165,0.67,819.0,0.01,,,Fenced Lot,1953.0,,2015-10-13 00:00:00.000000000,,10.13,,,,,,,,,,,,,96.0,0.94,800.0,0.01,0.667,,,,,,4.0,1.05,1265.0,0.01,0.75,39.1,38.0,1368.0,38.2,1477.0,13595.0,S13596,TX Jefferson 4365 4th St,66.0,,,114100.0,883330.0,2014.0,0.188346924,1.0,,,1970-01-01 00:00:00.000042290,,883330.0,8833.300000000001,165283.0000496076
6,6,26,25,TX Lubbock R123190,TX Lubbock2400 44th St,P10594,2,Lubbock,TX,79412,Lubbock,,N,3.4160000000000004,103,0.07010148148148165,0.6311,962.0,0.01,3.6889999999999996,,"Courtyard, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1963.0,2019.0,2018-05-29 00:00:00.000000000,,14.44,,Masonry,,,,,,27.0,1.03,730.0,0.01,0.63,72.0,0.87,1030.0,0.01,0.625,4.0,0.9,1300.0,0.01,0.75,,,,,,34.1,34.6,3313.0,35.3,3967.0,13434.0,S13435,TX Lubbock 2400 44th St,56.0,,,260400.0,1881104.0,2017.0,0.60530914,2.0,,,1970-01-01 00:00:00.000043249,,1881104.0,18811.04,311554.44081098033
7,7,27,25,TX Lubbock R123190,TX Lubbock2400 44th St,P10594,2,Lubbock,TX,79412,Lubbock,,N,3.4160000000000004,103,0.07010148148148165,0.6311,962.0,0.01,3.6889999999999996,,"Courtyard, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1963.0,2019.0,2018-05-29 00:00:00.000000000,,14.44,,Masonry,,,,,,27.0,1.03,730.0,0.01,0.63,72.0,0.87,1030.0,0.01,0.625,4.0,0.9,1300.0,0.01,0.75,,,,,,34.1,34.6,3313.0,35.3,3967.0,13596.0,S13597,TX Lubbock 2400 44th St,56.0,,,282720.0,2123437.0,2011.0,0.60530914,2.0,,,1970-01-01 00:00:00.000041095,,2123437.0,21234.37,353823.6635496731
8,8,28,26,TX Lubbock R124322,TX Lubbock5401 50th St,P10595,2,Lubbock,TX,79414    ,Lubbock,,N,4.6143,102,0.0713,0.15689999999999998,1067.0,0.01,2.9410000000000003,,Laundry Facilities,1973.0,,2017-05-26 00:00:00.000000000,4598023,16.23,,Masonry,,,,,,24.0,0.78,735.0,0.01,0.16699999999999998,68.0,0.6,1150.0,0.01,0.147,10.0,0.63,1300.0,0.01,0.2,,,,,,33.6,33.1,3460.0,33.7,3706.0,13297.0,S13298,TX Lubbock 5401 50th St,46.0,,0.0713,343000.0,2030000.0,2016.0,0.617637986,2.0,37.04,996472.49,1970-01-01 00:00:00.000042881,4598023.0,4598023.0,45980.23,363730.91009251575
9,9,29,26,TX Lubbock R124322,TX Lubbock5401 50th St,P10595,2,Lubbock,TX,79414    ,Lubbock,,N,4.6143,102,0.08900000000000001,0.15689999999999998,1067.0,0.01,2.9410000000000003,,Laundry Facilities,1973.0,,2017-05-26 00:00:00.000000000,4598023,16.23,,Masonry,,,,,,24.0,0.78,735.0,0.01,0.16699999999999998,68.0,0.6,1150.0,0.01,0.147,10.0,0.63,1300.0,0.01,0.2,,,,,,33.6,33.1,3460.0,33.7,3706.0,13525.0,S13526,TX Lubbock 5401 50th St,46.0,,0.08900000000000001,343000.0,1950000.0,2014.0,0.617637986,2.0,,,1970-01-01 00:00:00.000042052,,4598023,45980.23,454025.9607045429
