,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
0,GA Fulton 11-1000-0359-034,GA Fulton6215 Johns Creek Cmn,P1,4,Johns Creek,GA,300971535,Fulton,,N,8.96,210,,4.29,1157.0,1.4,1.095,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Cabana, Grill, Guest Apartment, Package Service, Recycling, Lounge, Maintenance on site, Sundeck",2006.0,,08/01/17,"47,000,000",,,Masonry,,,,,,75.0,1.44,914.0,0.5,4.0,98.0,1.61,1175.0,2.2,4.1,37.0,1.26,1602.0,0.7,5.4,,,,,,32.4,35.5,2956.0,37.1,3894.0
1,GA Fulton 14-0112-0003-061-5,GA Fulton927 3rd St,P2,4,Atlanta,GA,30318,Fulton,,N,4.0,264,,,1036.0,0.0,,,,2021.0,,02/27/19,,12.87,,,5.0,,589.0,,,98.0,,795.0,,,131.0,,1143.0,,,30.0,,1434.0,,,,,,,,27.8,30.6,9959.0,32.6,9412.0
2,GA Fulton 17-0149-0008-098-2,GA Fulton555 8th St,P3,4,Atlanta,GA,30318,Fulton,,N,0.0764,200,,5.5,,0.0,,,,1995.0,,,,14.83,,,,,,,,,,,,,50.0,,,,6.0,50.0,,,,6.0,100.0,,,,5.0,26.4,29.9,12088.0,31.8,11441.0
3,GA Fulton 17-0106-0009-120-4,GA Fulton250 10th St,P4,4,Atlanta,GA,303093735,Fulton,,N,1.57,188,,4.79,942.0,0.6,1.2229999999999999,,"Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Corporate Suites, Gated, Grill, Online Services",1999.0,,10/02/08,"25,347,300",0.45,10.0,Masonry,61.0,2.28,765.0,0.6,4.9,85.0,2.06,870.0,0.6,4.7,42.0,2.08,1291.0,0.6,4.8,,,,,,,,,,,35.1,36.4,12772.0,38.0,10415.0
4,GA Fulton 17-0107-0006-060-4,GA Fulton100 10th St,P5,3,Atlanta,GA,30309,Fulton,,N,,118,,11.02,1068.0,1.0,0.847,,"24 Hour Access, Business Center, Laundry Facilities, Basketball Court, Media Center/Movie Theatre, Storage Space, Confere Rooms, Lounge, Multi Use Room",1968.0,,12/10/14,"22,330,000",0.3,6.0,Reinforced Concrete,,,,,,,,,,,72.0,1.81,900.0,1.0,11.1,,,,,,46.0,2.48,1330.0,1.0,10.9,31.2,33.4,17984.0,35.2,15493.0
5,GA Fulton 17-0106-0009-118-8,GA Fulton150 10th St,P6,2,Atlanta,GA,303094021,Fulton,,N,0.6576,149,,6.71,619.0,0.8,0.336,,"Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Media Center/Movie Theatre",1974.0,,,,0.27,7.0,Steel,87.0,1.11,578.0,0.8,6.9,62.0,0.95,676.0,0.8,6.5,,,,,,,,,,,,,,,,34.6,36.0,13596.0,37.6,11101.0
6,GA Fulton 17-0106-0004-032-6,GA Fulton 48-80 12th St,P7,2,Atlanta,GA,303093948,Fulton,,N,1.4653,129,,,483.0,0.2,0.09300000000000001,,"Controlled Access, Laundry Facilities, Property Manager on Site, Security System, Laundry Service, Trash Pickup - Door to Door",1959.0,,08/29/12,"279,600",0.44,9.0,Masonry,79.0,1.71,440.0,0.2,0.0,50.0,1.54,550.0,0.3,0.0,,,,,,,,,,,,,,,,33.6,35.2,14126.0,36.9,11708.0
7,GA Fulton 17-0106-0009-009,GA Fulton205 12th St,P8,5,Atlanta,GA,303094038,Fulton,,N,1.3481,198,,10.1,1259.0,0.5,1.01,,"Fitness Center, Cabana, Grill, Elevator, Lounge, Pet Care, Pet Washing Station",2017.0,,,,0.52,11.0,Reinforced Concrete,,,,,,102.0,3.18,944.0,0.5,9.8,88.0,3.11,1508.0,8.3,10.2,8.0,3.62,2546.0,0.5,12.5,,,,,,35.1,36.3,13345.0,37.9,10872.0
8,GA Fulton 17-0106-0006-071-2,GA Fulton207 13th St,P9,5,Atlanta,GA,303093617,Fulton,,N,0.85,245,,30.2,891.0,1.3,1.416,,"24 Hour Access, Controlled Access, Fitness Center, Dry Cleaning Service, Gameroom, Grill, Laundry Service, On-Site Retail, Package Service, Wi-Fi, Storage Space, Community-Wide WiFi, Confere Rooms, Elevator, Lounge, Pet Washing Station",2017.0,,,,0.61,12.0,Reinforced Concrete,24.0,2.94,582.0,1.0,29.2,146.0,2.82,765.0,1.0,30.1,73.0,2.84,1195.0,1.3,30.1,2.0,3.29,2735.0,8.3,50.0,,,,,,36.0,37.0,12112.0,38.6,9625.0
9,GA Fulton 17-0107-LL-011-4,GA Fulton200 14th St,P10,4,Atlanta,GA,303185304,Fulton,,N,,128,,,1036.0,0.0,,,,2020.0,,,,0.6,12.0,,3.0,,589.0,,,47.0,,795.0,,,63.0,,1143.0,,,15.0,,1434.0,,,,,,,,30.9,33.3,15939.0,35.2,13770.0
