,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
0,NC Craven 8-223-3000,NC Craven450 Gracie Farms Rd,P8143,3,New Bern,NC,285609302,Craven,5500000,Y,63.23,124,11.0,4.03,,0.0,,97.0,,1999.0,,,,13.85,,,,,,,,,,,,,124.0,,,,4.0,,,,,,,,,,,33.7,34.2,132.0,35.0,142.0
1,NC Buncombe 9649-31-3184-00000,NC Buncombe75 Haywood St,P8144,3,Asheville,NC,28801,Buncombe,,N,0.5,123,,1.63,588.0,0.4,0.244,,,1925.0,2008.0,,,14.71,,Masonry,40.0,2.29,375.0,0.6,5.0,83.0,1.32,690.0,0.3,0.0,,,,,,,,,,,,,,,,37.6,40.3,3462.0,41.4,2913.0
2,NC Forsyth 6835-56-7348,NC Forsyth980 2nd St,P8145,2,Winston Salem,NC,271014416,Forsyth,,N,14.41,108,,5.56,806.0,0.6,1.8519999999999999,,"Business Center, Laundry Facilities",1981.0,,06/28/19,"4,860,000",,,Wood Frame,,,,,,40.0,0.96,577.0,0.6,5.0,50.0,0.73,884.0,0.6,6.0,18.0,0.77,1100.0,0.6,5.6,,,,,,33.6,35.4,3116.0,36.5,2996.0
3,NC New Hanover R04813-001-021-000,NC New Hanover814 3rd St,P8146,4,Wilmington,NC,28401,New Hanover,,N,0.9666,112,,5.36,800.0,0.7,1.527,,"Business Center, Controlled Access, Fitness Center, Energy Star Labeled, Gated, Grill, Elevator",2015.0,,,,5.77,,Reinforced Concrete,,,,,,64.0,1.69,658.0,0.7,4.7,48.0,1.38,989.0,0.7,6.3,,,,,,,,,,,37.6,40.1,2270.0,40.6,2403.0
4,NC Iredell 4745-46-4133.000,NC Iredell1041 4th Creek Landing Dr,P8147,3,Statesville,NC,286258273,Iredell,,N,20.54,124,,3.23,961.0,0.5,2.516,,"Clubhouse, Property Manager on Site, Car Wash Area, Gameroom, Media Center/Movie Theatre, Walking/Biking Trails",1985.0,,,,,,Wood Frame,,,,,,20.0,1.04,700.0,0.4,5.0,80.0,0.93,935.0,0.4,2.5,24.0,0.83,1265.0,0.6,4.2,,,,,,42.0,41.7,254.0,42.0,250.0
5,NC Guilford P8148,NC Guilford812 6th St,P8148,3,High Point,NC,272624236,Guilford,,N,4.25,114,,5.26,,0.0,1.754,,Laundry Facilities,1963.0,,,,15.0,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,34.4,3337.0,35.2,3634.0
6,NC Mecklenburg 078-062-01,NC Mecklenburg517 8th St,P8149,3,Charlotte,NC,28202,Mecklenburg,,N,3.59,120,,3.33,945.0,0.5,1.125,,"Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Car Wash Area",1985.0,,01/30/15,"20,700,000",0.7,14.0,Wood Frame,,,,,,48.0,1.66,784.0,0.5,4.2,72.0,1.52,1052.0,0.5,2.8,,,,,,,,,,,32.7,33.7,10018.0,35.1,8795.0
7,NC Catawba 3713103686720000,NC Catawba1721 8th St Dr,P8150,3,Hickory,NC,28601,Catawba,,N,13.28,117,,1.71,1201.0,0.4,1.197,,"Clubhouse, Playground, Basketball Court",1997.0,,,,,,,,,,,,,,,,,93.0,0.8,1173.0,0.4,2.2,24.0,0.8,1313.0,0.3,0.0,,,,,,38.1,37.6,1736.0,38.0,1644.0
8,NC Pitt 06409,NC Pitt1110 10th St,P8151,3,Greenville,NC,278583758,Pitt,,N,7.4535,123,,13.82,837.0,1.0,1.423,,"Grill, Pet Play Area",,,,,6.83,,Wood Frame,,,,,,1.0,1.24,928.0,1.0,0.0,122.0,1.42,836.0,1.0,13.9,,,,,,,,,,,28.6,29.0,5708.0,29.5,6851.0
9,NC Catawba 2793129644110000,NC Catawba1227 10th Street Blvd,P8152,3,Hickory,NC,286012367,Catawba,,N,9.43,118,,5.93,944.0,0.0,1.169,,"Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Tennis Court, Basketball Court, Furnished Units Available, Grill, Maid Service, Package Service, Storage Space, House Sitter Services, Maintenance on site, Pet Care, Sundeck",1981.0,1997.0,07/09/12,"5,930,000",,,Wood Frame,,,,,,50.0,1.06,780.0,0.0,6.0,50.0,0.92,1015.0,0.0,6.0,18.0,0.91,1200.0,0.0,5.6,,,,,,41.2,41.4,628.0,41.9,634.0
10,NC Guilford 0055981,NC Guilford2500 16th St,P8153,3,Greensboro,NC,274054283,Guilford,,N,10.59,100,,5.0,900.0,0.0,,,,1979.0,,,,13.43,,,,,,,,100.0,,900.0,,5.0,,,,,,,,,,,,,,,,33.4,35.3,1617.0,36.2,1746.0
11,NC Mecklenburg 081-135-02,NC Mecklenburg1015 16th St,P8154,3,Charlotte,NC,28205,Mecklenburg,,N,1.82,112,,19.64,916.0,0.0,0.67,,,2019.0,,,,9.51,,Wood Frame,,,,,,63.0,,770.0,,19.1,49.0,,1103.0,,20.4,,,,,,,,,,,34.0,35.3,6471.0,36.8,5699.0
12,NC Catawba 2793196017830000,NC Catawba151 18th St,P8155,3,Hickory,NC,28601,Catawba,,N,8.61,105,,8.57,893.0,0.9,0.0,,Laundry Facilities,1974.0,,08/31/17,"3,500,000",,,,,,,,,,,,,,40.0,0.79,760.0,0.9,7.5,55.0,0.78,968.0,0.9,9.1,10.0,0.84,1012.0,0.9,10.0,36.6,37.8,1024.0,38.8,997.0
13,NC Catawba 3713077737980000,NC Catawba1750 20th Avenue Dr,P8156,3,Hickory,NC,28601,Catawba,,N,11.33,129,,,1050.0,0.3,,,"Playground, Tennis Court, Volleyball Court",1978.0,,05/31/19,"6,240,000",,,,,,,,,34.0,0.56,1050.0,0.3,0.0,95.0,0.53,1050.0,0.3,0.0,,,,,,,,,,,39.0,38.9,1262.0,39.5,1207.0
14,NC Catawba 3713087779170000,NC Catawba1820 20th Avenue Dr,P8157,3,Hickory,NC,286010506,Catawba,,N,5.2,108,,,659.0,0.2,,,"Property Manager on Site, Pet Play Area",1987.0,,04/14/08,"2,300,000",,,,,,,,,28.0,1.04,570.0,0.2,0.0,80.0,0.9,690.0,0.3,0.0,,,,,,,,,,,39.1,39.2,1409.0,39.8,1356.0
15,NC Catawba 3713088803260000,NC Catawba1830 20th Avenue Dr,P8158,3,Hickory,NC,286010504,Catawba,,N,10.325,108,,2.78,972.0,0.4,,,"Picnic Area, Playground, Property Manager on Site, Tennis Court",,,,,,,,,,,,,,,,,,72.0,0.85,917.0,0.4,2.8,36.0,0.83,1083.0,0.4,2.8,,,,,,39.2,39.3,1403.0,39.8,1350.0
16,NC Catawba 3713063950210000,NC Catawba1207 21st Ave,P8159,3,Hickory,NC,28601,Catawba,,N,10.93,120,,2.5,988.0,0.4,,,"Business Center, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Grill, Package Service",1974.0,,,,,,,,,,,,24.0,0.91,723.0,0.6,4.2,66.0,0.75,974.0,0.4,1.5,30.0,0.71,1231.0,0.4,3.3,,,,,,39.6,39.1,1415.0,39.6,1322.0
17,NC Mecklenburg 079-095-13,NC Mecklenburg417 25th St,P8160,2,Charlotte,NC,282062672,Mecklenburg,,N,25.2949,135,,,556.0,0.0,0.10400000000000001,,,1948.0,,01/08/07,"3,750,000",9.29,,Wood Frame,,,,,,55.0,,470.0,,,79.0,,617.0,,,1.0,,489.0,,,,,,,,34.9,36.8,3001.0,37.8,3150.0
18,NC Catawba 3714144320550000,NC Catawba915 29th Ave,P8161,3,Hickory,NC,286011295,Catawba,,N,7.57,123,,9.76,712.0,1.0,,,"Property Manager on Site, Gameroom, Walking/Biking Trails, Community-Wide WiFi, Lounge",2002.0,,,,,,,41.0,5.04,449.0,1.0,9.8,41.0,4.33,721.0,1.0,9.8,41.0,3.63,966.0,1.0,9.8,,,,,,,,,,,41.4,41.2,802.0,41.6,775.0
19,NC Catawba 3704168336860000,NC Catawba112 29th Avenue Dr,P8162,4,Hickory,NC,286019097,Catawba,,N,4.9999,101,,0.99,890.0,0.3,,,"Fitness Center, Storage Space",2013.0,,,,,,,,,,,,52.0,1.22,715.0,0.3,0.0,46.0,0.98,1061.0,0.3,0.0,3.0,0.98,1308.0,1.0,33.3,,,,,,41.5,42.0,698.0,42.6,714.0
20,NC Mecklenburg 171-081-18,NC Mecklenburg 1324-1415 Abbey Pl,P8163,2,Charlotte,NC,282093000,Mecklenburg,,N,5.65,128,,,925.0,0.0,1.5630000000000002,,,1966.0,,09/25/15,"8,400,000",7.97,,Masonry,,,,,,22.0,,780.0,,,58.0,,899.0,,,48.0,,1023.0,,,,,,,,38.1,38.3,3734.0,39.2,3263.0
21,NC Mecklenburg 175-142-08,NC Mecklenburg1700 Abbey Pl,P8164,4,Charlotte,NC,282093742,Mecklenburg,,N,1.6496,130,,,,0.0,,,Roof Terrace,2020.0,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,38.2,3723.0,39.1,3295.0
22,NC Cumberland 9487-55-2521,NC Cumberland581 Abbott's Landing Cir,P8165,3,Fayetteville,NC,283146125,Cumberland,,N,11.45,124,,4.03,915.0,0.6,2.315,,"Clubhouse, Fitness Center, Property Manager on Site, Package Service, Storage Space, Health Club Discount, Maintenance on site, Sundeck",2006.0,,01/18/19,,12.94,,Wood Frame,,,,,,32.0,1.18,622.0,0.6,3.1,72.0,0.72,963.0,0.6,4.2,20.0,0.87,1214.0,0.6,5.0,,,,,,29.0,31.3,1845.0,33.0,1811.0
23,NC Randolph 7751-81-5649,NC Randolph156 Academy Ave,P8166,2,Asheboro,NC,27203,Randolph,,N,,101,,4.95,564.0,0.6,0.594,,Elevator,1980.0,,,,37.92,,Steel,,,,,,81.0,1.14,535.0,0.6,4.9,20.0,1.03,680.0,0.5,5.0,,,,,,,,,,,37.4,38.1,1768.0,38.9,1708.0
24,NC Wayne 3600359364,NC Wayne201 Alpha Ct,P8167,2,Goldsboro,NC,275301401,Wayne,,N,9.97,104,,7.69,,0.0,,,,,,,,,,,,,,,,,,,,,104.0,,,,7.7,,,,,,,,,,,44.0,45.1,191.0,44.5,180.0
25,NC Durham 154032,NC Durham5011 Alston Ave,P8168,3,Durham,NC,27713,Durham,,N,11.507,120,,5.0,781.0,0.7,0.275,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Car Wash Area, Dry Cleaning Service, Grill, Package Service, Planned Social Activities, Recycling",1986.0,,03/12/18,"11,500,000",8.54,,Wood Frame,,,,,,48.0,1.54,671.0,0.6,4.2,64.0,1.25,834.0,0.6,4.7,8.0,1.31,1012.0,1.0,12.5,,,,,,37.0,42.9,65.0,44.4,95.0
26,NC Guilford 18-00-0008-0-0001-00-001,NC Guilford2701 Annmoore Cir,P8169,2,High Point,NC,27262,Guilford,,N,32.77,134,,5.22,,0.0,1.1640000000000001,,,1973.0,,,,18.62,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,36.0,998.0,36.8,1056.0
27,NC Lincoln 19186,NC Lincoln101 Arbor Run Dr,P8170,4,Lincolnton,NC,28092,Lincoln,,N,10.65,111,,5.41,953.0,0.7,0.0,,"Clubhouse, Fitness Center, Laundry Facilities, Playground, Basketball Court, Grill",2002.0,,07/09/18,"8,750,000",31.04,,Wood Frame,,,,,,20.0,1.03,725.0,0.6,5.0,79.0,0.88,975.0,0.6,5.1,12.0,0.85,1185.0,0.9,8.3,,,,,,39.7,40.9,537.0,41.7,570.0
28,NC Mecklenburg 169-183-01,NC Mecklenburg 604-648 Archdale Dr,P8171,2,Charlotte,NC,28217,Mecklenburg,,N,19.38,120,,,1123.0,0.3,1.875,,"Picnic Area, Playground, Grill, Pet Play Area",1972.0,,,,0.96,19.0,Wood Frame,,,,,,,,,,,64.0,0.93,1006.0,0.3,0.0,56.0,0.89,1256.0,0.2,0.0,,,,,,30.2,32.6,4050.0,34.3,3779.0
29,NC Harnett 010535 0100 30,NC Harnett Archie Rd,P8172,2,Spring Lake,NC,28390,Harnett,,N,55.0,120,,6.67,,0.0,0.41700000000000004,,,,,11/28/16,"2,350,000",24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,35.4,325.0,37.1,313.0
