,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
0,TX Tarrant 00005428,TX Tarrant410 7th St,P10569,3,Fort Worth,TX,761024701,Tarrant,,N,0.23,106,,1.89,850.0,1.9,,,"Controlled Access, Fitness Center, Laundry Facilities, Bicycle Storage, Elevator",1996.0,,06/20/16,,0.56,12.0,Masonry,,,,,,71.0,2.05,686.0,0.6,2.8,34.0,1.39,1177.0,4.2,0.0,1.0,0.79,1367.0,0.6,0.0,,,,,,39.9,39.9,4460.0,41.3,3878.0
1,TX Bexar 00273-002-0011,TX Bexar939 Frio St,P10570,4,San Antonio,TX,78207,Bexar,,N,2.69,102,,4.9,917.0,0.6,2.431,,"Controlled Access, Fitness Center, Laundry Facilities, Property Manager on Site, Gated, Maid Service, Package Service, Pet Play Area, Vintage Building, Storage Space, Elevator, Maintenance on site",2014.0,,12/15/16,"17,500,000",9.3,,Wood Frame,,,,,,73.0,1.78,683.0,0.5,4.1,22.0,1.49,1135.0,0.5,4.6,7.0,0.87,2673.0,1.0,14.3,,,,,,34.3,36.6,4287.0,37.8,4341.0
2,TX Williamson R031603,TX Williamson2012 Hero Way,P10571,4,Leander,TX,786412736,Williamson,,N,8.5,105,,,1226.0,0.0,,,,2020.0,,,,5.19,,,,,,,,54.0,1.5,694.0,0.0,,,,,,,51.0,1.2,1788.0,0.0,,,,,,,31.5,34.2,548.0,36.0,568.0
3,TX Mclennan 48-024108-000204-0,TX Mclennan215 Washington Ave,P10572,4,Waco,TX,76701,Mclennan,,N,2.72,106,,18.87,1154.0,1.0,,,"Controlled Access, Fitness Center, Spa, Gated, Breakfast/Coffee Concierge, Gameroom, Shuttle to Train, Wi-Fi, Elevator",2008.0,,03/04/14,,9.08,,,,,,,,12.0,1.9,518.0,1.0,16.7,,,,,,14.0,1.33,1096.0,1.0,21.4,80.0,1.35,1260.0,1.0,18.8,31.3,33.1,2575.0,34.3,3024.0
4,TX Travis 04120906540000,TX Travis5112 1st St,P10573,3,Austin,TX,787452293,Travis,,N,4.43,101,,5.94,690.0,0.6,2.0,,"Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service, Maintenance on site",1982.0,,06/08/15,"10,000,000",4.84,,Wood Frame,,,,,,67.0,1.7,609.0,0.6,6.0,34.0,1.57,850.0,0.6,5.9,,,,,,,,,,,34.6,36.2,5825.0,37.3,5228.0
5,TX Brown 55022,TX Brown2801 4th St,P10574,3,Brownwood,TX,768016161,Brown,,Y,7.0,104,,2.88,860.0,0.4,1.6440000000000001,28.0,"Laundry Facilities, Playground, Basketball Court",,,02/13/15,,,,,,,,,,32.0,0.98,667.0,0.5,3.1,56.0,0.9,904.0,0.4,1.8,16.0,0.89,1090.0,0.7,6.3,,,,,,37.6,38.1,1190.0,38.6,1134.0
6,TX Lubbock R94203,TX Lubbock5525 4th St,P10575,2,Lubbock,TX,794164230,Lubbock,5223000.0,Y,5.34,104,,6.73,818.0,0.7,1.923,218.0,"Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1976.0,2017.0,09/03/15,,15.4,,Wood Frame,,,,,,40.0,0.83,695.0,0.8,7.5,64.0,0.75,895.0,0.8,6.3,,,,,,,,,,,31.6,31.8,3405.0,32.6,3702.0
7,TX Hidalgo S5650-00-000-0004-00,TX Hidalgo701 4th Ave,P10576,2,Edinburg,TX,785394292,Hidalgo,,N,0.1607,100,,5.0,903.0,0.6,,,"Clubhouse, Playground, Property Manager on Site",1985.0,,,,11.34,,,,,,,,16.0,1.01,576.0,0.7,6.3,34.0,0.82,820.0,1.0,8.8,34.0,0.84,1007.0,0.4,2.9,16.0,0.78,1183.0,0.4,0.0,33.0,33.5,2955.0,34.8,3053.0
8,TX Jefferson 300007-000-036300-00000-4,TX Jefferson4365 4th St,P10577,2,Beaumont,TX,777054500,Jefferson,,N,11.41,100,,67.0,819.0,1.0,,,Fenced Lot,1953.0,,10/13/15,,10.13,,,,,,,,,,,,,96.0,0.94,800.0,1.0,66.7,,,,,,4.0,1.05,1265.0,1.0,75.0,39.1,38.0,1368.0,38.2,1477.0
9,TX Fort Bend 5050-00-051-0000-907,TX Fort Bend1511 5th St,P10578,2,Missouri City,TX,77489,Fort Bend,,N,5.0,100,,5.0,754.0,2.3,2.0,,"Courtyard, Laundry Facilities, Playground, Gated",1979.0,,,,19.26,,Wood Frame,,,,,,33.0,1.37,615.0,0.6,6.1,64.0,1.2,810.0,3.2,4.7,3.0,1.14,1075.0,0.6,0.0,,,,,,34.4,36.2,1227.0,37.7,1263.0
10,TX Mclennan 48-029900-004402-2,TX Mclennan1624 5th St,P10579,2,Waco,TX,767061403,Mclennan,,N,3.27,100,,,750.0,0.2,,,"Laundry Facilities, Property Manager on Site, Maintenance on site",1975.0,,,,10.29,,,29.0,0.98,521.0,0.2,0.0,24.0,1.14,621.0,0.2,0.0,41.0,1.08,921.0,0.2,0.0,6.0,1.09,1203.0,0.3,0.0,,,,,,23.3,26.1,6644.0,27.7,7372.0
11,TX Bell 52117,TX Bell100 7th St,P10580,3,Temple,TX,765014285,Bell,,N,0.8148,100,,1.0,545.0,0.3,,,,1972.0,,,,23.48,,,,,,,,90.0,0.9,527.0,0.3,0.0,10.0,0.92,704.0,0.7,10.0,,,,,,,,,,,35.7,37.4,2189.0,38.3,2545.0
12,TX Navarro 50683,TX Navarro2512 7th Ave,P10581,3,Corsicana,TX,751104919,Navarro,,N,3.38,100,,10.0,642.0,0.0,,,,1982.0,,,,,,,,,,,,100.0,,642.0,,10.0,,,,,,,,,,,,,,,,34.2,35.2,1639.0,36.3,1646.0
13,TX Navarro 25510,TX Navarro3401 7th Ave,P10582,3,Corsicana,TX,751104845,Navarro,,N,7.297000000000001,104,,,880.0,0.2,1.923,,,1973.0,,,,,,,,,,,,24.0,1.01,655.0,0.3,0.0,48.0,0.88,875.0,0.3,0.0,32.0,0.82,1055.0,0.2,0.0,,,,,,36.6,36.5,618.0,37.1,610.0
14,TX Dallas 00000458905000000,TX Dallas1544 8th St,P10583,2,Dallas,TX,75203,Dallas,,N,7.8482,102,,5.88,963.0,0.6,0.0,,"Controlled Access, Playground, Gated",1952.0,,,,0.24,5.0,,,,,,,16.0,0.69,750.0,0.7,6.3,48.0,0.7,900.0,0.9,8.3,26.0,0.67,1100.0,0.4,3.9,12.0,0.66,1200.0,0.4,0.0,30.9,32.7,2347.0,34.2,2395.0
15,TX Hidalgo A2100-00-013-0001-00,TX Hidalgo309 9th St,P10584,4,Alamo,TX,785163523,Hidalgo,,N,2.6997,100,,7.0,946.0,0.7,,,"24 Hour Access, Business Center, Clubhouse, Fitness Center, Playground, Property Manager on Site, Gated, Multi Use Room",2007.0,,,,9.18,,,,,,,,25.0,0.83,710.0,0.7,8.0,50.0,0.73,963.0,0.7,6.0,25.0,0.7,1147.0,0.7,8.0,,,,,,34.6,34.8,1979.0,35.7,2159.0
16,TX Hidalgo S2300-00-000-0001-00,TX Hidalgo4812 10th St,P10585,3,McAllen,TX,785042831,Hidalgo,,N,5.66,100,,6.0,687.0,0.7,,,Tennis Court,1973.0,,,,5.09,,,,,,,,100.0,0.87,687.0,0.7,6.0,,,,,,,,,,,,,,,,36.2,36.4,3064.0,37.5,3133.0
17,TX Mclennan 48-042507-002600-3,TX Mclennan1300 11th St,P10586,3,Waco,TX,767066702,Mclennan,,N,4.4910000000000005,101,,31.68,1055.0,1.0,,,"Property Manager on Site, Gated, Maintenance on site, Sundeck",1982.0,,12/09/16,,9.75,,,,,,,,,,,,,101.0,0.92,1054.0,1.0,31.7,,,,,,,,,,,24.5,27.3,6325.0,28.8,7191.0
18,TX Hidalgo E3300-00-208-0005-00,TX Hidalgo201 13th Ave,P10587,3,Edinburg,TX,785413500,Hidalgo,,N,1.3039,100,,2.0,453.0,0.4,,,"Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Gated, Gameroom, Grill, Laundry Service",1973.0,2007.0,,,12.44,,,40.0,1.47,370.0,0.4,2.5,60.0,1.02,509.0,0.4,1.7,,,,,,,,,,,,,,,,35.6,35.4,2331.0,36.1,2569.0
19,TX Lubbock R89382,TX Lubbock5540 19th St,P10588,2,Lubbock,TX,79407,Lubbock,,N,2.4677,100,,8.0,662.0,0.9,2.0,,"Laundry Facilities, Pool",1967.0,,,,15.96,,Wood Frame,,,,,,52.0,0.95,590.0,0.9,7.7,48.0,0.89,740.0,0.9,8.3,,,,,,,,,,,32.7,32.9,3127.0,33.6,3554.0
20,TX Travis 203653,TX Travis709 22nd St,P10589,4,Austin,TX,787055419,Travis,,N,1.0091,100,,5.0,842.0,0.7,0.0,,"Controlled Access, Courtyard, Fitness Center, Disposal Chutes, Elevator, Lounge, Sundeck",2006.0,,,,5.19,,Reinforced Concrete,,,,,,37.0,2.43,579.0,0.6,5.4,42.0,2.35,848.0,0.6,4.8,21.0,1.98,1293.0,0.7,4.8,,,,,,24.3,27.1,20278.0,28.3,19266.0
21,TX Travis 02120107150000,TX Travis714 22nd St,P10590,4,Austin,TX,78705,Travis,,N,0.4801,100,,4.0,834.0,0.5,0.0,,"Controlled Access, Courtyard, Fitness Center, Gated, Furnished Units Available, Maid Service, Elevator",2008.0,,,,5.19,,Reinforced Concrete,15.0,2.8,418.0,0.8,6.7,33.0,2.01,766.0,0.2,0.0,35.0,2.59,881.0,0.2,0.0,13.0,2.35,1203.0,1.0,15.4,4.0,2.63,1344.0,1.0,25.0,24.4,27.2,20700.0,28.4,19645.0
22,TX Wichita P10591,TX Wichita1601 32nd St,P10591,3,Wichita Falls,TX,763021511,Wichita,,N,7.2943,104,,3.85,1020.0,0.6,,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Gated, Basketball Court, Grill, Volleyball Court, Maintenance on site",2004.0,,,,9.29,,,,,,,,,,,,,72.0,0.72,963.0,0.6,4.2,32.0,0.69,1147.0,0.6,3.1,,,,,,37.3,36.9,1354.0,37.3,1455.0
23,TX Bexar 08243-002-0270,TX Bexar143 36th St,P10592,2,San Antonio,TX,782371283,Bexar,,N,6.5775,100,,6.0,857.0,0.7,,,,,,,,10.92,,,,,,,,20.0,1.0,668.0,0.7,5.0,44.0,0.94,884.0,0.7,6.8,36.0,0.99,929.0,0.7,5.6,,,,,,34.0,34.8,4555.0,35.7,5045.0
24,TX Ector 19030-00030-00000,TX Ector7601 42nd St,P10593,2,Odessa,TX,797648879,Ector,,N,42.97,100,,6.0,,0.0,1.0,,,,,11/19/18,,18.93,,,,,,,,100.0,,,,6.0,,,,,,,,,,,,,,,,33.8,33.1,371.0,34.6,369.0
25,TX Lubbock R123190,TX Lubbock2400 44th St,P10594,2,Lubbock,TX,79412,Lubbock,,N,3.4160000000000004,103,,63.11,962.0,1.0,3.6889999999999996,,"Courtyard, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service",1963.0,2019.0,05/29/18,,14.44,,Masonry,,,,,,27.0,1.03,730.0,1.0,63.0,72.0,0.87,1030.0,1.0,62.5,4.0,0.9,1300.0,1.0,75.0,,,,,,34.1,34.6,3313.0,35.3,3967.0
26,TX Lubbock R124322,TX Lubbock5401 50th St,P10595,2,Lubbock,TX,79414    ,Lubbock,,N,4.6143,102,,15.69,1067.0,1.0,2.9410000000000003,,Laundry Facilities,1973.0,,05/26/17,"4,598,023",16.23,,Masonry,,,,,,24.0,0.78,735.0,1.0,16.7,68.0,0.6,1150.0,1.0,14.7,10.0,0.63,1300.0,1.0,20.0,,,,,,33.6,33.1,3460.0,33.7,3706.0
27,TX Travis 02251022030000,TX Travis600 53rd St,P10596,2,Austin,TX,787511309,Travis,,N,2.2957,100,,7.0,606.0,0.0,1.64,,"24 Hour Access, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Laundry Service, Recycling, Maintenance on site",1967.0,,12/12/12,,5.19,,Wood Frame,1.0,1.78,505.0,0.0,100.0,50.0,1.93,517.0,0.0,6.0,48.0,1.98,690.0,0.0,4.2,1.0,1.64,1100.0,0.0,100.0,,,,,,32.0,33.4,8389.0,34.7,7132.0
28,TX Lubbock R143976,TX Lubbock3026 54th St,P10597,3,Lubbock,TX,79413,Lubbock,,N,7.562,100,,5.0,619.0,0.7,2.2,,,1997.0,,12/24/13,,15.71,,Wood Frame,40.0,5.6,350.0,0.7,5.0,40.0,3.55,677.0,0.7,5.0,20.0,2.5,1043.0,0.7,5.0,,,,,,,,,,,38.0,37.9,3185.0,37.9,3940.0
29,TX Lubbock R69929,TX Lubbock4602 54th St,P10598,2,Lubbock,TX,79414    ,Lubbock,,N,4.6614,100,,12.0,807.0,1.0,2.5,,Laundry Facilities,1979.0,,,,15.95,,Masonry,,,,,,48.0,0.86,643.0,1.0,12.5,52.0,0.68,958.0,1.0,11.5,,,,,,,,,,,36.0,35.6,2836.0,36.0,3252.0
30,TX Lubbock R70080,TX Lubbock5401 54th St,P10599,2,Lubbock,TX,79414    ,Lubbock,,N,8.0124,100,,,617.0,0.2,2.0,,Laundry Facilities,1978.0,,,,16.46,,Masonry,,,,,,96.0,0.96,605.0,0.2,0.0,4.0,0.77,898.0,0.3,0.0,,,,,,,,,,,33.9,33.2,3187.0,33.8,3382.0
31,TX Lubbock R70052,TX Lubbock5401 56th St,P10600,3,Lubbock,TX,79414    ,Lubbock,,N,9.1116,100,,2.0,624.0,0.4,2.4,,"Business Center, Clubhouse, Courtyard, Laundry Facilities, Picnic Area, Property Manager on Site, Gameroom, Laundry Service",1973.0,,,,17.26,,Masonry,40.0,0.92,513.0,0.4,2.5,40.0,0.89,637.0,0.4,2.5,20.0,0.82,822.0,0.4,0.0,,,,,,,,,,,34.0,33.3,3321.0,33.8,3515.0
32,TX Hidalgo P10601,TX Hidalgo1804 83 Hwy,P10601,4,Mission,TX,78572,Hidalgo,,N,,104,,,911.0,0.0,,,Basketball Court,2019.0,,,,6.22,,,,,,,,52.0,,695.0,,,26.0,,967.0,,,26.0,,1288.0,,,,,,,,40.6,40.5,2002.0,40.5,2337.0
