,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
0,S1,FL Hillsborough S1,FL Hillsborough 17470 Brookside Trace Ct,2,,,,,,1.049861418,,332.02,15183761.28,4/1/19,49802737,Newmark Knight Frank
1,S2,FL Leon 21-36-90-118-955.0,FL Leon 705 Madison St,1,,,1646565,1646565,2017,2.981570725,5,120.69,15674603.17,8/1/18,39500000,
2,S3,FL Miami/Dade 14-2235-001-0130,FL Miami/Dade 9201 Collins Ave,67,,,4314390,18307413,2003,,11,370.58,,9/22/04,33500000,
3,S4,FL Sarasota 2033-04-0038,FL Sarasota 4 Maggie Ln,8,,,1188000,12297600,2015,1.10194109,4,127.11,6101102.62,7/28/16,31041800,
4,S5,FL Palm Beach 12-42-46-25-20-000-0010,FL Palm Beach 2200 Bloods Grove Cir,6,,5.3,0,48000,2013,0.891276865,3,96.34,3740444.58,10/17/14,29750000,ARA Newmark
5,S6,FL Hillsborough 072305-0300,FL Hillsborough 1508 Ladora Dr,16,,,,,,0.480891435,3,66.04,1383471.32,10/8/04,27738600,
6,S7,FL Miami/Dade 12-2226-043-0010,FL Miami/Dade 10275 Collins Ave,55,,,,,,2.795508562,16,40.6,4943808.3,12/31/08,27027800,
7,S8,FL Palm Beach 30-43-41-08-41-000-0010,FL Palm Beach 1045 US Highway 1,5,4.45,,3120000,20572098,2016,1.474129245,4,247.08,15865954.92,5/31/17,26750000,Cushman & Wakefield
8,S9,FL Palm Beach 00-43-45-05-25-001-0000,FL Palm Beach 6116 Yellow Sun Dr,5,,5.53,2700619,15852220,2015,0.381883048,2,146.26,2432966.7,4/14/16,24000000,ARA Newmark
9,S10,FL Miami/Dade 14-2235-023-0001,FL Miami/Dade 9195 Collins Ave,54,,8.14,,,2001,6.528,12,103.95,29558182.95,7/10/01,19000000,Aztec Group Inc.
10,S11,FL Palm Beach 06-43-47-30-00-000-5050,FL Palm Beach 1150 2nd Ave,53,5.18,,5033700,8448250,2017,0.611252842,2,190.54,5073229.65,10/31/18,16800000,Cushman & Wakefield
11,S12,FL Miami/Dade 04-3011-002-0820,FL Miami/Dade 1310 29th St,52,,6,1279062,6720000,2016,0.851762613,2,195.46,7252252.25,6/5/17,16100000,
12,S13,FL Hillsborough S13,FL Hillsborough 1002 Creekbridge Rd,32,,,,,,0.19343252,2,135.33,1140284.8,2/28/19,15895000,ARA Newmark
13,S14,FL Leon 21-26-60-00E-001.0,FL Leon 698 Woodward Ave,56,6.92,8.2,2630000,8646582,2008,0.372534167,4,122.7,1991150.44,11/19/07,15750000,Marcus & Millichap
14,S15,FL Palm Beach 08-43-45-27-61-001-1010,FL Palm Beach 661 Woolbright Rd,44,,5.58,,,,0.813931986,4,83.67,2966601.18,9/30/14,15100000,Cushman & Wakefield
15,S16,FL Pinellas 36-29-15-70236-100-1000,FL Pinellas 301 Seacrest Dr,46,,5.88,2140375,8800000,2018,0.347579696,2,118.48,1793842.03,6/27/19,13400000,Franklin Street
16,S17,FL Alachua S17,FL Alachua 3501 15th St,47,,,,,,0.238376652,2,158.46,1645393.32,3/16/18,13294778,illi Commercial Real Estate
17,S18,FL Pinellas S18,FL Pinellas,,,6.2,,,,0,,152.27,5124513.62,,,"Collison Capital, LLC"
18,S19,FL Hillsborough U-27-28-19-ZZZ-000001-39140.0,FL Hillsborough 7011 San Ramon Pl,50,,5.61,807108,5990708,2018,0.418258835,2,92.78,1690322.58,5/20/19,13100000,Franklin Street
19,S20,FL Miami/Dade 23-3209-011-0040,FL Miami/Dade 7545 Treasure Dr,58,,,3153160,7450000,2004,1.558556387,9,105.81,7183511.08,2/8/05,13000000,
